exp,model1,model2,model3,mean,std
3.199999,3.5928037,3.4878616,3.1463666,3.4090106,0.19059493
3.6,3.5924592,3.6564617,3.6970325,3.6486511,0.04304761
3.4000006,3.5639892,3.456202,3.4298449,3.4833453,0.058030125
3.8999999,3.8604307,3.8868675,3.9284778,3.891925,0.028009357
3.5000002,3.3800664,2.717201,3.2438755,3.1137142,0.2858369
3.7999997,3.7662349,3.7488797,3.8132184,3.776111,0.027178662
3.6,3.465518,3.546178,3.464277,3.491991,0.038319387
3.5000002,2.8460267,3.1254623,2.698489,2.8899927,0.1770618
2.600003,2.684081,1.7488438,2.8532014,2.4287088,0.48566976
2.4000022,3.7191298,2.679575,3.1016583,3.1667874,0.4268879
3.2999995,3.239373,3.238607,3.201845,3.2266083,0.017513122
2.8000019,3.2017384,2.5886505,2.653718,2.8147023,0.27496198
4.0,3.958636,3.9452295,3.9611282,3.954998,0.0069818376
3.199999,3.1596048,3.1951118,3.1344094,3.163042,0.02490052
3.8999999,4.0288343,3.9061713,3.923801,3.9529355,0.054149006
3.5000002,3.2225223,3.1741326,3.1591454,3.1852667,0.027044838
4.0,3.913951,3.8910913,3.912027,3.90569,0.010352449
2.900001,2.945228,2.8185809,2.9754307,2.91308,0.067949
3.7999997,3.8506112,3.81193,3.8149858,3.8258426,0.017558638
3.8999999,3.9188437,3.8933313,3.8918214,3.9013321,0.012397909
3.199999,3.1897147,3.2099,3.2006311,3.2000818,0.008249733
3.2999995,3.7793486,3.6866524,3.6410267,3.7023427,0.057549234
3.8999999,3.9008214,3.867322,3.9180071,3.8953836,0.021046376
3.5000002,3.293253,3.022898,3.5268054,3.2809856,0.20590214
4.0,3.7355149,3.8646069,3.8511686,3.8170967,0.0579474
3.8999999,3.8876507,3.870069,3.8693469,3.8756888,0.008463447
3.4000006,3.0383286,3.2448795,3.162235,3.1484811,0.08488302
3.199999,3.1891973,3.1954756,3.1779757,3.1875496,0.0072387033
3.4000006,3.2507987,3.2343912,3.1699555,3.218382,0.034891564
3.6,3.6227322,3.6539936,3.5717635,3.6161633,0.03389013
3.8999999,3.9407058,4.1514225,3.910016,4.000715,0.107300445
3.5000002,3.404254,3.3974805,3.312872,3.3715355,0.041573446
3.1000016,3.008039,3.0445035,3.0045795,3.0190408,0.018060215
4.623249,4.4153,4.532834,4.5627146,4.503616,0.06362932
2.5774918,2.789942,2.6463966,2.896924,2.777754,0.10263982
4.0,4.413803,4.4213567,4.4677887,4.434316,0.023868699
3.199999,3.130615,3.1879575,3.1567092,3.1584272,0.02344149
4.8,4.5165925,4.569953,4.3906655,4.4924035,0.07516569
3.199999,3.1646304,3.2108772,3.1963878,3.1906319,0.019313887
3.6,3.6454377,3.332198,3.1737108,3.3837821,0.19600555
3.0,2.6240797,2.2291846,2.7007551,2.5180066,0.2066129
1.2999429,3.1656055,2.6567147,2.6680677,2.8301294,0.2372628
4.0,3.7083685,3.750464,3.8405154,3.7664492,0.055120137
4.0,3.911767,3.9419172,3.9095445,3.9210765,0.014764693
3.5000002,3.4811869,3.5238616,3.5630045,3.5226843,0.03341228
3.6999998,3.6858757,3.6696193,3.6560898,3.6705284,0.0121770045
3.199999,3.196036,3.1838083,3.1684153,3.1827533,0.011300795
3.7999997,3.2655609,3.5177462,3.3908956,3.391401,0.10295486
3.8999999,3.868355,3.8797965,3.8758974,3.8746831,0.0047492404
4.9,4.3139315,4.502303,4.528946,4.4483933,0.09569915
2.900001,3.2414546,2.6970313,3.757876,3.2321205,0.4331383
3.4000006,3.4083204,3.6703463,3.8321702,3.6369457,0.17464033
3.6,3.5112016,3.5946937,3.1996856,3.4351933,0.16998188
3.0,2.3258264,1.3292122,2.1832738,1.946104,0.44007352
3.8999999,3.8452287,3.8577204,3.9012113,3.8680534,0.023994328
3.1000016,3.668334,3.5460832,3.4528034,3.5557404,0.088254586
3.199999,3.388146,3.6839633,3.3250878,3.4657323,0.15644519
3.8999999,3.928077,3.8931456,3.9661531,3.929125,0.029814437
3.6999998,3.6677904,3.6622725,3.668698,3.6662538,0.0028394111
3.1000016,3.5496726,3.8016977,2.573262,3.3082106,0.5297745
1.700011,1.2367154,2.1778333,1.8570747,1.7572079,0.3906454
3.4000006,3.3693385,3.326592,3.3669348,3.3542883,0.019608917
3.1000016,3.7183232,3.6085737,3.5325572,3.619818,0.0762543
3.8999999,3.017736,3.2241654,3.904795,3.382232,0.37899622
3.2999995,3.344087,3.29428,3.30041,3.3129256,0.022175975
3.6999998,3.6370702,3.6143146,3.6759057,3.64243,0.025428519
2.4000022,2.1015458,2.4620569,2.393619,2.319074,0.15633254
3.6999998,3.706428,3.6719344,3.6844788,3.6876137,0.014255399
1.700011,2.2332594,2.0753624,2.40805,2.2388906,0.1358775
3.5000002,3.3180246,3.5902338,3.2491722,3.3858101,0.14725696
3.7999997,3.294569,2.939015,3.3237858,3.1857898,0.17490345
2.4000022,1.7962514,2.499207,2.505835,2.2670977,0.33294967
3.8999999,3.9490302,3.8047042,3.9664066,3.9067137,0.072479576
4.0,3.846564,3.8565571,3.8758407,3.8596542,0.012151068
3.7999997,3.634437,3.6949062,3.6628988,3.6640806,0.02470057
3.8999999,3.8246465,3.8591504,3.9503431,3.8780468,0.053026497
3.199999,3.1815093,3.23237,3.2078576,3.2072456,0.020768281
3.5000002,2.6032724,3.300561,2.297627,2.73382,0.41972306
3.0,3.1800826,2.8288298,2.5116615,2.8401911,0.27299997
3.8999999,3.7785401,3.758745,4.0521793,3.8631546,0.1339046
3.8999999,3.821388,3.8512733,3.748664,3.8071086,0.043089848
3.2999995,3.480706,2.7573273,3.1352656,3.1244328,0.29541743
4.879096,4.265332,4.3997316,4.591257,4.4187737,0.13373782
4.4771214,4.182542,4.213263,4.0391583,4.1449876,0.07587641
3.8999999,3.874763,3.877586,3.945842,3.899397,0.032861825
2.6294096,2.7714438,4.0952435,3.8719113,3.5795329,0.57863355
2.900001,3.150138,2.9802103,3.4527798,3.194376,0.19544518
2.8000019,3.2008717,3.2634523,3.2193766,3.2279003,0.026249718
4.4,3.2422333,3.956099,3.5911884,3.5965068,0.29145873
4.4913616,4.4027357,4.461369,4.5090218,4.457709,0.04346822
3.199999,3.1353092,3.2088957,3.2078364,3.1840136,0.03444203
3.7999997,3.7100372,3.7770758,3.7033157,3.7301428,0.033299796
1.700011,2.2503586,3.081852,3.1833417,2.8385174,0.4179499
4.69897,4.087292,4.167343,4.310063,4.1882324,0.09213749
3.6999998,3.8212347,3.7778869,3.8676295,3.8222504,0.036644325
3.7999997,3.723788,3.7416224,3.8167725,3.7607276,0.040292952
2.200002,2.7685103,2.0698748,2.2787068,2.372364,0.29280445
4.0,3.8812964,3.8133721,3.8950293,3.8632326,0.035699658
3.4000006,3.654327,3.3582973,3.2449956,3.4192066,0.17256977
0.80002934,1.5152107,1.8835374,1.5265758,1.6417747,0.17101504
3.2999995,3.7983398,3.8527257,3.8466148,3.8325603,0.02432567
3.199999,3.3080897,3.2280803,3.40548,3.3138835,0.072538875
0.80002934,1.4787865,1.9733232,0.72674847,1.3929528,0.51251847
4.0,3.9403393,3.9015677,3.9386616,3.9268563,0.017894786
3.6,3.5680952,3.4919448,3.5236073,3.5278823,0.031234909
4.0,3.8936732,3.8504772,3.9425797,3.8955765,0.037624784
4.0,3.931682,3.9211805,4.0057774,3.95288,0.037648994
3.199999,3.1627462,3.1938293,2.9755177,3.1106977,0.09642532
3.0,3.1745632,3.128449,2.699199,3.000737,0.21404912
2.8000019,3.5416408,3.5872264,3.283613,3.4708269,0.13368183
3.4000006,3.3960025,3.4253829,3.489316,3.4369004,0.038955886
3.8999999,3.8539429,3.7976005,3.9490678,3.8668706,0.062508285
3.8999999,3.8840382,3.887835,3.9499593,3.9072773,0.03022035
2.0999913,3.6603007,3.263588,2.1409144,3.021601,0.6434552
3.7999997,3.7142718,3.6600266,3.6318889,3.668729,0.034190997
3.6,2.9135487,2.9084039,2.6248589,2.815604,0.1348934
3.8999999,3.851945,3.5759008,3.8329825,3.7536094,0.1258972
0.81717235,1.3826531,2.5001361,2.4045947,2.0957947,0.5057734
1.4999619,0.90048385,1.596081,2.2641778,1.5869142,0.55676347
3.6,3.5149002,3.5363548,3.466458,3.5059044,0.029235607
3.8999999,3.9085596,3.8742507,3.8666325,3.8831475,0.018236166
1.2999429,2.957303,2.2864017,2.7311442,2.658283,0.27869782
1.8999846,1.9686207,1.9589105,2.0090141,1.9788485,0.021695616
2.500003,3.3303123,3.2743225,3.1169496,3.240528,0.09032333
3.7999997,3.7230282,3.6784039,3.5681202,3.6565173,0.06510699
3.8999999,3.9126334,3.9076226,3.955553,3.9252698,0.021511069
3.2999995,3.152802,3.1926677,2.9110503,3.0855064,0.12442826
4.0,3.8388343,3.77148,3.9332051,3.84784,0.06633035
3.6,3.521218,3.564781,3.459412,3.515137,0.04323103
3.4000006,3.453145,3.5082023,3.5330138,3.4981205,0.033376537
3.5000002,3.271477,3.1855278,3.2913613,3.2494552,0.04592674
3.1000016,2.9034276,3.1534517,3.0223393,3.026406,0.1021124
1.8000294,3.633576,3.6809363,3.3908563,3.568456,0.12706178
3.5000002,3.3754814,3.5900955,3.5544477,3.506675,0.093902394
3.8999999,3.8834488,3.9171698,3.9113824,3.9040003,0.014722935
3.4000006,3.4200854,3.3584163,3.4464018,3.408301,0.036873784
4.0,3.7115593,3.6262527,1.4371154,2.9249756,1.0526524
2.3000083,3.5391169,3.4227188,3.2255476,3.3957946,0.1294221
3.6,3.4797726,3.5705469,3.5006514,3.5169904,0.038817637
3.6999998,3.6523066,3.5662854,3.6481338,3.622242,0.039603893
5.30103,5.0840826,5.098831,4.925193,5.0360355,0.078608565
3.4000006,3.3265696,3.1902065,3.25428,3.2570188,0.055703644
3.8860567,4.4018106,4.434572,4.359523,4.3986354,0.030720955
3.199999,3.1818333,3.1816964,3.206291,3.1899402,0.0115618585
4.0,3.965679,3.9730308,3.9756608,3.9714568,0.00422433
3.369216,4.3637166,3.9224803,3.313452,3.8665495,0.4305888
3.7999997,3.7865403,3.766265,3.815433,3.7894127,0.020175299
4.0,3.9560063,3.961104,4.0047517,3.973954,0.021876488
3.6,3.6404934,3.591816,3.6319873,3.6214323,0.021227831
4.4,4.658591,4.095042,4.224723,4.326119,0.24098073
3.5000002,3.5445752,3.4925923,3.5126483,3.5166054,0.021405576
3.1000016,1.522584,1.5943062,2.0566254,1.7245051,0.23666275
3.2999995,3.3458438,3.251276,3.3206506,3.3059235,0.03998693
3.6999998,3.6356716,3.6297874,3.6177723,3.6277437,0.007448864
5.0,4.8156185,4.985918,4.840189,4.880575,0.07516101
4.0,4.071547,3.945647,3.9997964,4.0056634,0.051565632
1.690196,3.1015027,2.7453537,2.5545535,2.8004696,0.22666672
3.4000006,3.648481,3.6383166,3.640592,3.642463,0.0043553673
3.199999,3.1409783,3.1211524,3.1683133,3.1434813,0.019334521
3.6,3.5826142,3.5957646,3.5967507,3.5917099,0.0064441958
3.6,3.3512814,3.3713787,3.479603,3.4007542,0.056354895
3.199999,3.1574073,3.106915,3.1959915,3.1534379,0.03647349
3.8999999,3.9084203,3.8923113,3.957276,3.919336,0.02762207
3.8999999,3.765478,3.7967534,3.8108556,3.791029,0.018962445
4.0,3.930467,3.8528962,3.9574316,3.9135983,0.04431195
3.4000006,2.3364673,2.3008199,2.4480672,2.3617847,0.062722534
1.5999922,2.011409,2.536016,1.7336699,2.0936983,0.3326845
3.5000002,2.9262338,3.0499754,2.5026865,2.8262985,0.23433818
3.199999,3.3110154,3.4857516,3.3465457,3.3811042,0.07540517
3.6999998,3.6771293,3.739117,3.5823445,3.6661968,0.064467214
3.6,3.6304684,3.5868356,3.5587862,3.5920303,0.029493744
4.0,3.9429095,3.9414923,4.0530634,3.9791553,0.052264284
3.199999,3.1734803,3.16824,3.1714792,3.1710665,0.0021591159
0.49968708,0.9060273,1.0107737,0.83769155,0.9181642,0.07117973
3.4000006,3.471005,3.5536737,3.5595126,3.5280638,0.040417027
3.199999,3.7159941,3.7440941,3.4129717,3.6243534,0.14990893
3.4000006,3.3526742,2.8522198,3.4599724,3.2216222,0.2648544
3.7999997,3.7109816,3.8204522,3.8103726,3.7806022,0.049400833
4.0,2.9142344,3.1376052,3.101853,3.0512307,0.09796453
3.1000016,3.4125333,3.1788468,2.9770083,3.1894627,0.17796071
3.5000002,3.3788896,3.6199203,3.2412453,3.4133518,0.15650222
2.900001,2.773489,2.845248,2.9851794,2.8679721,0.08790335
3.1000016,2.932409,3.0086954,3.126956,3.0226867,0.08003728
4.0,3.907679,3.8559673,3.853521,3.872389,0.024973718
4.7,4.679194,4.642749,4.618473,4.6468053,0.024954608
3.8999999,3.857502,3.789485,3.8705127,3.8391666,0.03552947
3.199999,3.1711307,3.232449,3.1836548,3.1957448,0.026452642
2.900001,3.1119084,3.3307261,3.6211786,3.3546045,0.20859316
2.3000083,2.8946552,2.677945,2.8271432,2.7999146,0.09054243
4.0,3.8741474,3.7374668,3.7701333,3.7939157,0.05827867
4.0,4.024795,3.9191446,3.9341583,3.9593658,0.046669573
3.199999,2.9049046,3.0692475,2.696194,2.8901155,0.15265709
3.199999,2.868054,3.5203285,2.9282172,3.1055334,0.2943312
