exp,model1,model2,model3,mean,std
5.0,5.36706,5.010533,5.2433186,5.2069707,0.14780352
5.0,4.9997387,5.0067506,5.0062337,5.0042405,0.0031905903
5.0,5.1856976,5.0170608,5.039992,5.080917,0.07468032
5.0,4.9913125,5.0071783,5.0058584,5.00145,0.0071883355
5.0,5.010661,4.987584,5.036649,5.0116315,0.020042498
6.455932,5.583307,5.585633,6.1274085,5.7654495,0.2559455
8.0,7.833701,8.137737,7.7169733,7.896137,0.17735893
6.167491,5.5548434,5.1402817,6.36257,5.6858983,0.507529
5.0,5.014422,5.0125723,5.0090413,5.012012,0.0022320943
5.0,5.1539974,5.035166,5.1034846,5.0975494,0.048694015
5.0,7.0703783,5.1017723,5.0064235,5.726191,0.9512804
5.0,4.9832807,5.2091484,5.051492,5.081307,0.09458949
5.0,5.025996,5.066194,5.031936,5.0413756,0.017716136
5.0,4.994058,5.0067506,5.0058584,5.0022225,0.0057844725
5.0,5.0086412,5.0133243,5.0058584,5.0092745,0.0030806477
7.39794,6.0012345,5.9261756,5.893293,5.9402347,0.045174368
5.0,5.208007,5.027253,5.13623,5.1238303,0.07431149
5.0,5.009695,5.0068026,5.0058584,5.007452,0.001632233
9.30103,8.190044,8.0693245,8.853936,8.371101,0.34495428
5.823909,5.0991197,5.156639,4.996713,5.0841575,0.066141166
5.0,4.980157,5.074007,5.0141616,5.022775,0.03879525
5.0,5.077084,5.006919,5.0208097,5.0349374,0.030336834
5.0,4.993966,5.298928,5.063041,5.118645,0.13056095
5.0,4.9973626,5.0117865,5.0094237,5.0061913,0.006316649
5.0,5.0063834,5.400647,5.6959467,5.367659,0.28247777
5.0,5.2704644,5.018326,5.294773,5.194521,0.12498351
5.0,5.0075445,4.999808,5.006214,5.0045223,0.0033774897
5.0,5.0042543,5.0067506,5.0058584,5.0056214,0.0010328093
5.0,5.0063457,5.0067506,5.0058584,5.006318,0.0003647424
5.0,5.0035095,5.007188,5.0058584,5.0055184,0.0015207726
5.0,4.994171,5.04709,5.0058584,5.0157065,0.022698632
5.0,5.0138426,5.09135,5.0152845,5.0401587,0.036202297
5.0,5.0112357,5.0067506,5.0058584,5.0079484,0.002352956
5.0,5.0215936,5.0202174,5.0534344,5.0317483,0.015344548
6.481486,5.268942,4.9894204,5.0063705,5.088244,0.12795974
5.0,5.024704,5.0067506,5.0058584,5.0124373,0.0086812405
7.823909,7.5132937,7.0800867,6.622654,7.0720115,0.363647
5.0,6.3479633,6.104659,6.197797,6.2168064,0.10023394
7.29243,6.504616,6.4432793,6.943453,6.6304493,0.22273895
5.0,5.022908,5.006565,5.0058584,5.0117774,0.007876069
5.0,4.993387,5.1759486,5.568989,5.2461085,0.2401681
5.0,5.033162,5.0067506,5.0058584,5.0152574,0.012666038
5.853872,5.9400706,5.4941463,5.151388,5.5285354,0.3228952
5.0,5.001656,5.0067506,5.0058584,5.004755,0.0022213622
5.0,5.030923,5.0067506,5.0058584,5.0145106,0.011610934
5.3565474,5.3277273,5.20084,5.11473,5.2144322,0.087485395
6.017729,6.894018,6.7296295,6.0139585,6.5458684,0.38205785
8.387217,8.647201,8.594662,8.639749,8.627204,0.023210846
5.3467875,5.701021,5.8179646,5.498485,5.6724906,0.131978
5.251812,5.266351,5.379035,5.040464,5.2286167,0.1407729
5.7447276,5.6873875,5.2717505,5.219379,5.392839,0.20937179
6.004365,5.3594875,5.790722,5.0150843,5.3884315,0.31731346
6.60206,5.7617674,5.2757726,5.5756984,5.5377464,0.20021325
5.0,5.034928,5.0067506,4.998532,5.0134034,0.015585524
6.221849,6.92632,6.2618675,6.802584,6.663591,0.2885177
5.0,5.127427,5.1226463,5.066892,5.105655,0.027479013
5.0,4.995992,5.0216594,4.9945207,5.0040574,0.012460959
6.0132284,6.455513,6.5487385,6.5373325,6.513861,0.041520435
5.6197886,5.3621244,5.6396317,5.1843476,5.395368,0.18734951
5.79588,5.117261,5.793164,5.042131,5.3175187,0.3377276
5.0,5.035437,5.061232,5.0083246,5.034998,0.021601615
7.5686364,7.0430617,6.7855344,6.4960885,6.7748947,0.22342758
5.0,5.0050583,5.0178766,5.0058584,5.009598,0.005863135
5.0,5.021452,4.998373,5.0058584,5.008561,0.009613796
5.0,5.002689,5.0067506,5.0181108,5.0091834,0.0065267384
7.221849,5.63531,5.695404,5.2179003,5.516205,0.21235509
5.0,5.0143547,5.0131235,5.0024242,5.0099673,0.0053575104
5.0,5.300341,5.063406,5.2279325,5.197226,0.09913528
5.0,5.0058165,5.0066676,5.0058584,5.006114,0.00039172234
6.4202166,6.133664,6.297391,6.357893,6.262983,0.0947192
5.0,5.1031213,5.1823864,5.024625,5.1033773,0.06440615
5.920819,6.3529844,6.4837756,5.2449565,6.027239,0.55572826
6.4436975,6.6565533,6.1778393,6.3464913,6.3936276,0.198256
5.0,5.0304375,5.019754,5.0068216,5.0190043,0.009655684
5.0,5.0105824,5.0101023,5.01994,5.0135417,0.0045285686
5.0,5.012555,5.0067506,5.0058584,5.008388,0.0029689958
6.4202166,5.9279766,5.8497715,5.42933,5.7356925,0.21897128
5.0,5.0277257,5.0043635,5.062849,5.0316463,0.024036996
5.0,5.0000553,4.9816475,5.0058584,4.995854,0.010320923
5.0,4.996375,5.0067506,5.0058584,5.002995,0.004694922
5.0,5.0096188,5.007653,5.00737,5.008214,0.0010000247
5.0,5.0079513,5.0067506,5.0058584,5.0068536,0.00085748656
5.0,5.0150876,5.034119,5.015272,5.021493,0.008928369
5.0,4.9962115,5.0067506,5.0058584,5.00294,0.0047717937
5.0,4.9818525,5.0067506,5.214672,5.0677586,0.10437976
8.769551,6.461317,5.8423715,7.5247626,6.6094837,0.69477814
5.7212462,5.839311,5.790226,5.5004835,5.7100067,0.14950444
5.0,5.14332,5.0606127,5.1141305,5.1060214,0.03424861
5.0,5.070004,5.1533737,5.0155616,5.0796466,0.05667321
5.0,5.001541,5.0067506,5.0058584,5.0047164,0.0022748192
5.0,5.077648,5.0257816,5.0038643,5.0357647,0.030938232
5.0,4.987351,5.005931,5.002648,4.9986434,0.0080965655
5.0,5.3170686,5.072704,5.069718,5.1531634,0.11590485
5.0,4.9985256,5.0067782,5.0058584,5.0037208,0.0036926623
5.0,5.316914,5.010814,4.9761457,5.101291,0.15312381
