exp,model1,model2,model3,mean,std
5.0,5.379118,4.998896,5.5137973,5.2972703,0.21802916
5.0,5.0169206,4.9923067,5.0002184,5.0031486,0.010259951
5.0,5.0857306,5.014704,5.0604234,5.0536194,0.029392803
5.0,5.026698,5.0180225,5.0201526,5.021624,0.0036915336
5.0,5.143009,5.0474224,5.049254,5.079895,0.044634607
6.455932,6.1403656,5.9818296,5.691582,5.937926,0.18582661
8.0,7.573305,7.8473444,7.775741,7.73213,0.1160483
6.167491,5.229948,6.2232842,5.778875,5.7440357,0.40627536
5.0,5.075513,5.0079956,5.03267,5.0387263,0.027894486
5.0,5.172065,5.0912676,5.2065125,5.156615,0.04830023
5.0,5.0737076,5.0623584,5.0952077,5.077091,0.013622435
5.0,5.157826,5.773547,5.026819,5.3193974,0.3255556
5.0,5.0523176,5.0316014,5.1656356,5.083185,0.05891168
5.0,5.0376444,5.0104117,5.014414,5.020823,0.012005982
5.0,5.092916,4.9993486,5.0207973,5.0376873,0.04002223
7.39794,5.6480474,6.825939,6.275325,6.2497706,0.4812117
5.0,5.0761905,5.0216064,5.106902,5.068233,0.035273492
5.0,5.096817,4.99891,5.035469,5.043732,0.04039518
9.30103,8.227665,8.033613,9.025477,8.428918,0.4292054
5.823909,4.999234,5.445809,5.65502,5.366688,0.2735068
5.0,5.077158,4.9852157,5.19791,5.0867615,0.08709714
5.0,5.062585,5.001959,5.216846,5.0937963,0.09046085
5.0,5.2011204,4.996825,5.091427,5.0964575,0.08347897
5.0,5.076868,5.0193157,5.0711017,5.055762,0.025878578
5.0,5.0680056,5.0228953,5.0952077,5.062036,0.029821627
5.0,5.580546,5.1021457,5.15081,5.277834,0.2149698
5.0,5.096035,4.996369,5.041642,5.044682,0.04074526
5.0,5.086686,4.9848723,5.0821733,5.051244,0.046967957
5.0,5.0742645,4.9911714,5.066395,5.0439434,0.037453637
5.0,5.053881,4.995143,5.003635,5.0175533,0.025920775
5.0,5.060446,5.0156503,5.0245304,5.033542,0.019366091
5.0,5.1545,5.11262,5.0338116,5.100311,0.05003376
5.0,5.08531,5.003378,5.0314684,5.040052,0.03399486
5.0,5.282982,5.0162873,5.0237617,5.107677,0.12399683
6.481486,5.1744094,5.0677223,5.0777636,5.1066318,0.04810102
5.0,5.053879,5.004763,5.0414715,5.033371,0.020853436
7.823909,6.5344753,7.6401057,6.411787,6.862123,0.55239254
5.0,5.858543,5.3335996,5.7831764,5.6584396,0.2317482
7.29243,5.9681063,6.2208548,6.2953033,6.1614213,0.14003266
5.0,5.0876284,4.9954057,4.9774313,5.0201554,0.048271798
5.0,5.0673904,5.054906,5.1991806,5.107159,0.06526842
5.0,5.0831547,5.0014896,5.0379667,5.04087,0.033402774
5.853872,5.0852556,5.526163,5.146797,5.2527385,0.19496588
5.0,5.0645237,5.0077286,4.9976664,5.0233064,0.029433234
5.0,5.0688977,5.0019712,5.0493116,5.0400605,0.028094843
5.3565474,5.526522,5.1801267,6.110757,5.605802,0.38404176
6.017729,7.012476,6.5809226,6.637554,6.743651,0.19148885
8.387217,8.465608,8.549865,8.500437,8.505303,0.03456951
5.3467875,6.5239277,6.3633842,6.670494,6.5192685,0.12542035
5.251812,5.2761264,5.2124624,5.1656356,5.218075,0.04528192
5.7447276,5.513721,5.2421193,5.225338,5.3270593,0.13216734
6.004365,5.1030426,5.248446,4.991528,5.1143384,0.10519003
6.60206,5.912015,5.318144,6.0406513,5.7569366,0.31468633
5.0,5.0658383,5.1044197,5.073323,5.0811934,0.01670515
6.221849,6.2386227,5.872975,6.8583875,6.323328,0.40672743
5.0,5.1870522,4.995099,4.9756327,5.0525947,0.095407434
5.0,5.046394,4.96181,4.986077,4.998093,0.035561264
6.0132284,5.6102743,6.7091184,6.3049927,6.2081285,0.45379993
5.6197886,5.54104,5.412606,6.129112,5.6942525,0.31193033
5.79588,5.185376,5.2936497,5.0304127,5.1698127,0.10802806
5.0,5.0652475,4.992902,5.045912,5.034687,0.03058292
7.5686364,7.12994,7.093055,6.985929,7.069641,0.061078843
5.0,5.0694656,5.017835,5.0254126,5.0375714,0.022764005
5.0,5.1027555,5.0045633,5.0467267,5.051348,0.040219806
5.0,5.115074,5.066154,5.080296,5.087175,0.020555336
7.221849,6.3108587,5.984844,5.784005,6.0265694,0.21710122
5.0,5.085503,5.0191164,4.9763713,5.026997,0.0449
5.0,6.091548,6.2695413,5.5928383,5.9846425,0.28641847
