exp,model1,model2,model3,mean,std
5.0,5.8108892,5.0110984,5.1171465,5.3130445,0.3546815
5.0,5.0018196,4.9925966,5.0064564,5.000291,0.0057605524
5.0,5.0027046,5.003483,5.0876946,5.031294,0.039882526
5.0,5.0018196,5.0023723,5.003088,5.0024266,0.00051924144
5.0,5.0064416,5.012431,5.025246,5.014706,0.007843682
6.455932,5.975296,5.566731,5.4870834,5.67637,0.2138589
8.0,8.314041,8.124773,8.312347,8.250387,0.08882532
6.167491,5.8196373,5.5313478,5.166082,5.505689,0.26742905
5.0,4.963218,5.002802,5.003088,4.9897027,0.018727725
5.0,5.0423408,5.0176377,4.948349,5.0027757,0.039785
5.0,5.0018196,5.02356,5.146798,5.0573926,0.06383925
5.0,5.075282,5.453908,5.0451183,5.1914363,0.1860037
5.0,5.025333,5.068064,5.003088,5.0321617,0.026962336
5.0,5.0018196,5.151482,5.003088,5.0521297,0.07025453
5.0,5.006647,5.0024743,5.003088,5.00407,0.0018395704
7.39794,5.365386,6.465075,5.732924,5.8544617,0.45709777
5.0,5.208168,4.9998903,5.06567,5.091243,0.08693053
5.0,5.0018196,5.0027523,5.003088,5.0025535,0.00053659553
9.30103,7.854702,8.146853,8.078808,8.026788,0.12481368
5.823909,4.9971604,5.1022944,5.113408,5.0709543,0.052377045
5.0,5.0008307,5.091439,5.0582767,5.0501823,0.037430827
5.0,4.916856,5.2296267,4.993918,5.0468,0.13305086
5.0,5.0339313,5.2262216,5.0068226,5.0889916,0.09766516
5.0,5.0018196,5.0464177,4.996674,5.0149703,0.022335568
5.0,5.0018196,4.999674,5.642059,5.2145176,0.3023187
5.0,5.6740894,5.0474944,5.160274,5.293953,0.27271208
5.0,5.0071363,5.0027523,5.003088,5.0043254,0.0019922522
5.0,5.0018196,5.0027523,5.003088,5.0025535,0.00053659553
5.0,5.0018196,5.0027523,5.003088,5.0025535,0.00053659553
5.0,5.0018196,4.993655,5.003088,4.999521,0.0041798977
5.0,4.9867654,4.9998894,5.003088,4.9965806,0.007062404
5.0,5.007187,5.0743203,5.003088,5.0281982,0.03265602
5.0,5.0018196,5.0027523,5.003088,5.0025535,0.00053659553
5.0,5.0277042,5.7035294,5.003088,5.244774,0.32454476
6.481486,4.9633875,4.9852653,5.098081,5.015578,0.05901829
5.0,5.0018196,5.000126,5.003088,5.001678,0.0012134259
7.823909,7.264915,7.3244567,6.788056,7.125809,0.24006148
5.0,5.3312593,5.088532,5.39108,5.2702904,0.13082232
7.29243,6.4212346,6.5075464,6.671311,6.533364,0.10371258
5.0,4.9901133,5.0027523,5.003088,4.998651,0.006038782
5.0,5.1138515,5.0027523,5.121907,5.0795035,0.054370984
5.0,5.0018196,5.0027523,5.003088,5.0025535,0.00053659553
5.853872,4.9860926,5.07343,5.013408,5.0243106,0.036479227
5.0,5.0018196,5.0027523,5.0069323,5.0038347,0.0022231387
5.0,5.0018196,5.0027523,5.003088,5.0025535,0.00053659553
5.3565474,5.658211,5.103098,5.330073,5.363794,0.22787502
6.017729,7.2609763,7.255481,5.270037,6.5954976,0.9372451
8.387217,8.434408,8.820223,8.532487,8.595706,0.1637289
5.3467875,5.4183073,5.342643,6.043363,5.601438,0.31401148
5.251812,5.015182,5.2663636,5.2363625,5.172636,0.11200846
5.7447276,5.7480693,5.2591043,5.119693,5.375622,0.2694396
6.004365,5.0336404,5.164415,5.0582085,5.085421,0.056750294
6.60206,6.397783,5.5864944,6.5927706,6.19235,0.435737
5.0,5.0018196,5.0123034,5.003088,5.005737,0.004671907
6.221849,6.103636,6.0684876,6.8994007,6.3571744,0.3836801
5.0,5.0178666,5.0138707,5.0100226,5.01392,0.0032024775
5.0,5.0070357,5.0027523,5.003088,5.004292,0.0019449381
6.0132284,6.1462407,6.4631853,6.1712494,6.2602253,0.14387722
5.6197886,5.501652,5.302833,6.077523,5.627336,0.32851547
5.79588,5.209057,5.5645394,5.146105,5.3065667,0.18421556
5.0,5.0018196,5.0424833,5.003088,5.015797,0.018877203
7.5686364,7.2384205,7.0160675,6.885231,7.046573,0.14579356
5.0,5.0018196,5.0027523,4.999052,5.001208,0.0015713129
5.0,5.0018196,4.995097,5.003088,5.0000014,0.0035064009
5.0,5.0039263,4.9962316,5.003088,5.001082,0.0034467736
7.221849,5.3552837,5.886508,5.673305,5.6383653,0.2182741
5.0,5.1288905,5.027145,5.014347,5.056794,0.051246848
5.0,5.143963,5.1800923,5.4601636,5.261406,0.14131452
5.0,5.0018196,5.0050564,5.003088,5.003321,0.0013316666
6.4202166,6.1578865,6.2538443,6.1738377,6.195189,0.04198331
5.0,4.8837113,5.1099143,4.951305,4.9816437,0.09480601
5.920819,6.627407,5.949315,5.814589,6.1304374,0.35568917
6.4436975,6.061869,6.0752454,5.6529903,5.9300346,0.19597623
5.0,5.7221227,5.1578875,4.967142,5.2823844,0.3205448
5.0,4.998278,5.003002,5.003088,5.001456,0.0022474306
5.0,5.0018196,5.0027523,5.003088,5.0025535,0.00053659553
6.4202166,5.697157,5.467875,5.9764028,5.7138114,0.20793934
5.0,4.9677095,4.9973207,5.4662857,5.143772,0.22837183
5.0,4.9909806,5.0010223,5.003088,4.9983635,0.005288262
5.0,5.0018196,5.0027523,5.003088,5.0025535,0.00053659553
5.0,5.0018196,5.0027523,5.0250793,5.009884,0.010751606
5.0,5.0018196,5.0027523,5.003088,5.0025535,0.00053659553
5.0,5.0018196,4.9942784,5.003088,4.9997287,0.0038885395
5.0,5.0018196,5.0027523,5.003088,5.0025535,0.00053659553
5.0,5.016617,5.004052,5.5380793,5.1862493,0.24883415
8.769551,7.757793,7.675843,7.7768736,7.736837,0.043826845
5.7212462,5.94658,5.475954,5.329145,5.583893,0.2633687
5.0,4.9704304,5.018278,4.959182,4.9826303,0.025621852
5.0,5.039744,5.25276,5.1683884,5.1536307,0.08758729
5.0,5.0018196,5.0027523,5.003088,5.0025535,0.00053659553
5.0,5.0322785,5.0492144,5.0540943,5.045196,0.009348584
5.0,5.0018196,5.003039,5.003088,5.002649,0.0005866897
5.0,5.1312833,5.003011,5.102221,5.0788383,0.054915003
5.0,5.0018196,5.0027523,5.003088,5.0025535,0.00053659553
5.0,4.978684,5.019058,4.955888,4.9845433,0.026119918
5.8860564,6.1426363,6.3485312,6.030726,6.173964,0.13162103
5.0,5.0501227,5.692192,5.037219,5.259845,0.30576122
7.091515,5.627549,6.2929134,5.8785233,5.9329953,0.27435112
6.318759,6.1491184,6.003953,6.47857,6.210547,0.19857062
6.0409584,6.1805644,5.891053,5.773431,5.948349,0.17107812
6.4436975,4.9954863,5.056709,4.9218493,4.991348,0.055133887
5.0,6.418541,5.6483374,5.003088,5.6899886,0.57860637
5.0,5.459118,5.061503,5.003088,5.1745696,0.20261437
5.0,6.6357164,5.1190777,5.7298365,5.8282104,0.62306035
5.0,5.1043243,5.020798,5.006386,5.043836,0.04317444
5.0,5.0736856,4.9898663,5.007124,5.0235586,0.036138587
