exp,model1,model2,model3,mean,std
5.0,6.0537033,5.0694823,5.0199513,5.381046,0.4760704
5.0,4.994256,5.0014544,4.986746,4.994152,0.0060051777
5.0,4.9973054,4.9996767,5.033451,5.0101447,0.016508726
5.0,4.9973054,5.0547085,5.001759,5.017924,0.02607381
5.0,5.025328,5.006499,5.0526156,5.028147,0.018932374
6.455932,6.116263,5.8584533,6.0806704,6.0184617,0.11407263
8.0,7.51196,7.3122067,7.6272516,7.4838066,0.13014813
6.167491,5.5643435,5.486478,6.019409,5.690077,0.23503278
5.0,5.0090346,4.990793,5.003639,5.001156,0.0076512806
5.0,5.048167,5.0570817,5.0020833,5.0357776,0.024101682
5.0,4.996104,5.0270867,5.063562,5.0289173,0.027570086
5.0,5.5364614,4.9524813,5.0538034,5.1809154,0.25478914
5.0,5.0907426,4.9933743,5.001759,5.0286255,0.044056714
5.0,4.991969,5.0167584,5.001759,5.0034957,0.01019442
5.0,4.983234,5.00053,5.001759,4.9951744,0.008457984
7.39794,5.550679,6.5645256,5.9838147,6.0330067,0.41536006
5.0,4.9295993,4.9630575,4.907023,4.933226,0.023019355
5.0,4.9984365,4.989314,5.001759,4.9965034,0.0052613337
9.30103,7.472438,7.3571014,7.068356,7.299299,0.16995375
5.823909,4.993225,5.029685,5.3845696,5.1358266,0.1765166
5.0,5.1359134,5.0877337,5.1510077,5.124885,0.026982918
5.0,5.056406,5.041035,5.1762595,5.0912337,0.06044901
5.0,5.0323687,4.9776154,4.996256,5.00208,0.022729145
5.0,5.302357,5.3429613,5.7346554,5.4599915,0.19492297
5.0,4.9729724,5.0057726,5.001592,4.993446,0.014577074
5.0,5.5245447,5.246136,5.5861607,5.4522805,0.14792058
5.0,4.9973054,5.0045137,5.001759,5.0011926,0.002969917
5.0,4.9973054,5.00053,5.012513,5.0034494,0.0065428037
5.0,4.9973054,5.00053,5.001759,4.9998646,0.001878025
5.0,4.9973054,4.978917,5.001759,4.9926605,0.009886676
5.0,4.9973054,5.002075,5.001759,5.0003796,0.0021778184
5.0,5.160284,4.973775,5.001759,5.045273,0.082123846
5.0,5.0018163,5.00053,5.001759,5.001368,0.0005934381
5.0,4.9988623,5.00053,5.05025,5.016547,0.023841122
6.481486,4.9860487,5.0506215,5.101347,5.0460057,0.047183342
5.0,4.9659057,5.00053,5.001759,4.9893985,0.016619282
7.823909,5.1559076,5.572254,5.8464994,5.524887,0.28391546
5.0,5.412142,5.3741164,5.778085,5.521448,0.18213284
7.29243,5.8350058,5.3720903,5.787012,5.664703,0.20783384
5.0,4.9973054,5.038976,5.019021,5.018434,0.017017093
5.0,5.1807714,4.9428306,5.0181603,5.047254,0.09929347
5.0,5.009504,5.037027,5.265094,5.1038747,0.114551425
5.853872,4.963891,5.099522,5.208976,5.0907965,0.1002455
