exp,model1,model2,model3,mean,std
3.199999,3.285381,3.475514,3.4668186,3.4092379,0.08765188
3.6,3.7375221,3.6302547,3.5649555,3.6442442,0.071141124
3.4000006,3.5026705,3.4787085,3.555366,3.5122483,0.032019738
3.8999999,3.7688541,3.8521867,3.919948,3.8469963,0.06179294
3.5000002,3.0038455,3.3242288,3.4138763,3.247317,0.1760074
3.7999997,3.7157683,3.7768884,3.740728,3.7444618,0.025091428
3.6,3.598173,3.3526576,3.3093274,3.4200525,0.12718622
3.5000002,2.9430864,2.4332411,1.717449,2.3645923,0.5027135
2.600003,2.496862,2.6829722,3.0061374,2.7286575,0.21040548
2.4000022,3.2011871,3.0176082,3.3104632,3.1764195,0.12083347
3.2999995,2.8633704,3.2404695,2.7164755,2.9401052,0.22069371
2.8000019,2.9594967,3.012811,3.0902274,3.0208452,0.053672053
4.0,3.893857,3.9071994,4.0608225,3.9539597,0.07575953
3.199999,3.1772122,3.1122983,3.2204816,3.1699975,0.044459358
3.8999999,3.7571642,3.75932,3.9763412,3.830942,0.10281667
3.5000002,3.167781,2.821369,3.2833343,3.090828,0.19628944
4.0,3.9268692,3.9404316,4.0661616,3.9778206,0.06271131
2.900001,2.9639862,3.0566373,3.055521,3.0253813,0.043415446
3.7999997,3.8091602,3.7884114,3.8771052,3.824892,0.037879396
3.8999999,3.8964481,3.887066,4.0129995,3.932171,0.057282478
3.199999,3.1877315,3.2358365,3.1912587,3.204942,0.02189296
3.2999995,3.640438,3.542839,3.760179,3.6478188,0.08888203
3.8999999,3.8843303,3.931315,3.9456563,3.9204338,0.026191847
3.5000002,3.6170611,3.4136846,3.6176686,3.5494716,0.096016124
4.0,3.796631,3.9348936,3.9260478,3.8858573,0.06319586
3.8999999,3.8166175,3.9247727,3.9140182,3.8851364,0.04864852
3.4000006,3.200791,3.2157226,2.885837,3.1007836,0.15211228
3.199999,3.1794896,3.1859913,3.225502,3.196994,0.020331996
3.4000006,3.1540926,3.401179,3.295372,3.2835476,0.10121857
3.6,3.5519052,3.5844748,3.6310756,3.589152,0.032489967
3.8999999,3.8912716,3.857167,3.978747,3.9090621,0.051204078
3.5000002,3.3852088,3.3400955,3.4316926,3.385666,0.037395746
3.1000016,3.0865908,2.9019756,2.9875379,2.992035,0.07543586
4.623249,4.439733,4.5431433,4.4878902,4.4902554,0.042250168
2.5774918,2.0441241,2.5511384,2.3912823,2.3288481,0.21164337
4.0,4.1916227,3.9545698,4.266813,4.1376686,0.13305943
3.199999,3.1430838,3.1200767,3.1073437,3.1235015,0.014790446
4.8,4.3380823,4.3654428,4.229018,4.3108478,0.058930494
3.199999,3.1986623,3.2273552,3.2483444,3.2247875,0.020363765
3.6,3.498734,3.5867946,3.6657012,3.583743,0.0681982
3.0,2.2224264,2.5463905,1.9039277,2.2242482,0.26228753
1.2999429,2.3790188,2.4697666,2.0220385,2.2902746,0.1932559
4.0,3.9613657,3.794084,3.8078485,3.8544328,0.075821534
4.0,3.918764,4.0028234,3.9217274,3.9477718,0.03894624
3.5000002,3.5263448,3.518649,3.4070451,3.4840128,0.054515112
3.6999998,3.6042676,3.7122393,3.7790227,3.69851,0.072000965
3.199999,3.0972188,3.1979187,3.164897,3.1533449,0.041914254
3.7999997,3.2153573,3.3363385,3.3799222,3.3105392,0.06961607
3.8999999,3.815415,3.696286,3.854521,3.7887404,0.06729647
4.9,4.248169,4.163209,4.5351143,4.3154974,0.15911889
