exp,model1,model2,model3,mean,std
3.199999,3.2331617,3.3037252,3.2166443,3.251177,0.037764084
3.6,3.344078,3.663766,3.7905583,3.5994675,0.18785967
3.4000006,3.6230972,3.562407,3.3381705,3.5078914,0.12254182
3.8999999,3.8785696,4.0370064,3.9051356,3.940237,0.06928032
3.5000002,3.1782525,3.32987,3.246597,3.2515733,0.061997525
3.7999997,3.8694324,3.8493574,3.6969378,3.8052425,0.077020295
3.6,3.3439884,3.257088,3.5429995,3.3813584,0.119676664
3.5000002,2.67989,3.010965,3.1628528,2.951236,0.20164153
2.600003,2.7840245,3.1952417,3.275042,3.0847695,0.21513975
2.4000022,3.6115923,3.149983,2.5489674,3.1035144,0.4350574
3.2999995,3.1184483,2.92122,3.3344665,3.1247113,0.16876526
2.8000019,2.8705528,3.5121179,3.6478033,3.3434913,0.33897468
4.0,3.677301,3.8906837,3.4190853,3.6623566,0.19281901
3.199999,3.210928,3.2821245,3.3994086,3.297487,0.07770989
3.8999999,3.792708,3.789169,3.5294237,3.7037668,0.12328771
3.5000002,3.0618122,3.2269864,3.34309,3.2106295,0.11541222
4.0,3.838329,3.9791172,3.8857388,3.9010618,0.058488816
2.900001,3.137906,2.9257007,3.1832583,3.0822885,0.11226154
3.7999997,3.8240523,3.897293,3.7927752,3.83804,0.04380065
3.8999999,3.9176018,3.9947436,3.9618359,3.9580605,0.03160594
3.199999,3.333449,3.3257725,3.414202,3.3578079,0.03999966
3.2999995,3.3287883,3.1857226,3.7455025,3.4200046,0.2374569
3.8999999,3.8491874,3.897976,3.8593678,3.8688438,0.021014672
3.5000002,3.6153471,3.6834722,3.6662726,3.6550305,0.028925665
4.0,3.6252723,3.8774052,3.8486698,3.7837822,0.11269583
3.8999999,3.7597528,3.860577,3.7807357,3.8003552,0.043436393
3.4000006,2.986427,3.4554815,3.2432654,3.2283914,0.1917793
3.199999,3.5559425,3.1253333,3.146831,3.2760355,0.19811857
3.4000006,3.1794817,3.4811885,2.9772398,3.2126367,0.20706764
3.6,3.4386377,3.5471148,3.454255,3.4800026,0.047881935
3.8999999,3.7846134,3.8762279,3.7160091,3.7922833,0.06563348
3.5000002,3.3458102,3.5227685,3.454071,3.4408834,0.07284229
3.1000016,3.166637,2.8656807,3.2255235,3.085947,0.15759622
4.623249,4.601177,4.2320576,4.529561,4.454265,0.1598216
2.5774918,3.025934,2.879611,2.2155592,2.7070348,0.3526223
4.0,4.0436845,3.9646184,3.6302478,3.8795168,0.17919108
3.199999,2.9791193,3.0608213,3.4252758,3.1550722,0.19395244
4.8,4.4203935,4.410502,3.478469,4.1031213,0.4417145
3.199999,3.124973,2.9845443,3.3012388,3.1369188,0.12956563
3.6,3.5778666,3.546765,3.651781,3.5921376,0.044044193
3.0,2.5062344,2.0522504,2.2307196,2.2630682,0.18674438
1.2999429,2.3645923,2.8135436,2.2105746,2.4629035,0.2557886
4.0,3.987451,3.8254032,3.521615,3.7781563,0.19308892
4.0,3.9307818,3.9216712,3.9458013,3.9327514,0.009949034
3.5000002,3.5134954,3.6408656,3.5556302,3.569997,0.05298171
3.6999998,3.6752226,3.6748114,3.7542608,3.7014315,0.037356254
3.199999,3.5937595,3.3383732,3.396264,3.4427989,0.10933029
3.7999997,3.2818382,3.2988746,3.3326743,3.3044624,0.021126509
3.8999999,3.4045901,3.7694483,3.7673342,3.6471243,0.17149967
4.9,4.4073715,4.474974,4.5132914,4.4652123,0.04378906
2.900001,2.8204615,2.685117,3.2604313,2.9220035,0.24560086
3.4000006,3.539174,3.466912,3.2867215,3.4309359,0.106156476
3.6,3.1021295,3.147976,3.266444,3.172183,0.069230564
3.0,2.7821617,2.4534657,2.945597,2.7270746,0.2046529
3.8999999,3.8786752,3.8371196,3.9207692,3.8788548,0.034150057
3.1000016,3.086922,3.584707,3.6980476,3.456559,0.2654369
3.199999,3.6096268,3.272063,3.4705732,3.4507544,0.13852054
3.8999999,3.6081145,3.9221802,3.7497942,3.7600296,0.12842089
3.6999998,3.5040417,3.4539077,3.6957707,3.5512402,0.10422794
3.1000016,3.2335744,3.650581,3.3557315,3.4132957,0.17504062
1.700011,1.4764678,2.4612255,2.5125399,2.1500778,0.47677457
3.4000006,3.2374928,3.439303,3.3825903,3.3531287,0.08498165
3.1000016,3.6042094,3.0255506,3.122453,3.2507374,0.25305367
3.8999999,3.7401724,3.9140892,3.7123477,3.7888699,0.08926918
3.2999995,3.3498776,3.4862912,3.2321777,3.3561153,0.1038351
3.6999998,3.6467144,3.5329754,3.534893,3.5715275,0.053170864
2.4000022,2.3406606,2.2409909,2.2723634,2.2846718,0.041610345
3.6999998,3.5541878,3.6007504,3.7386427,3.6311939,0.07831984
1.700011,2.2276168,2.1279678,2.4948893,2.2834914,0.15491784
3.5000002,3.3181336,3.3419006,3.2954984,3.3185108,0.018945504
3.7999997,2.8743093,3.0369258,3.010565,2.9739332,0.07126214
2.4000022,2.3682084,2.2778025,2.7214248,2.4558117,0.19140877
3.8999999,3.69103,2.8258986,3.2416334,3.252854,0.3532775
4.0,3.5622587,3.7829208,3.785596,3.7102585,0.10465734
3.7999997,3.6568074,3.3269608,3.3392026,3.4409904,0.15268756
3.8999999,3.5233474,3.759004,3.7593412,3.6805642,0.1111692
3.199999,3.1762865,3.1986997,3.3906376,3.255208,0.096199416
3.5000002,3.1776667,2.832295,2.8652818,2.9584143,0.15561849
3.0,3.0319176,2.1769748,2.626769,2.6118872,0.34918752
3.8999999,3.8160617,3.6427813,3.7396553,3.732833,0.07090576
3.8999999,3.8202367,3.7743268,3.8104415,3.8016682,0.019742604
3.2999995,3.1053107,2.8449903,3.1073258,3.019209,0.12319394
4.879096,4.510873,4.7826667,4.627331,4.64029,0.111337125
4.4771214,4.5159726,4.11497,3.863626,4.1648564,0.26864535
3.8999999,3.8294895,3.9297576,3.6232173,3.794155,0.12761436
2.6294096,3.4816432,3.8302035,2.0771332,3.12966,0.7577304
2.900001,3.0038562,2.8686056,2.6852875,2.852583,0.13054767
2.8000019,3.1053107,3.0417063,3.1261768,3.0910645,0.035926126
4.4,3.8303769,3.7117722,3.4088433,3.6503308,0.17748977
4.4913616,4.659076,4.3145647,4.6065497,4.52673,0.15154848
3.199999,3.1871138,3.2188976,3.3286998,3.2449038,0.06065692
3.7999997,3.7352328,3.7788997,3.3187065,3.6109464,0.20741229
1.700011,3.0380747,2.874419,2.7461052,2.8861997,0.119486794
4.69897,4.395671,3.496727,3.8669598,3.9197857,0.3688884
3.6999998,3.8744988,3.8856356,3.8552089,3.871781,0.012569439
3.7999997,3.7606735,3.8392506,3.8600688,3.8199978,0.04280079
2.200002,3.346187,2.6262894,1.7432857,2.5719206,0.65551007
4.0,3.8798268,3.8502958,3.873757,3.86796,0.0127338
3.4000006,3.5365286,3.477929,3.375227,3.4632282,0.06666653
0.80002934,1.3236566,1.5887504,2.2670116,1.7264729,0.39724493
3.2999995,3.8175902,3.8423748,3.74076,3.8002417,0.043259807
3.199999,3.2248533,3.200579,3.050406,3.1586125,0.07715282
0.80002934,2.069255,2.0559976,1.2881819,1.8044782,0.36511675
4.0,3.8527007,3.8304882,3.7854753,3.8228881,0.027965898
3.6,3.4525385,3.6130338,3.620345,3.5619724,0.07743905
4.0,3.7929058,3.8881397,3.802331,3.8277922,0.042845298
4.0,3.9356735,3.9656494,4.009675,3.9703324,0.030391961
3.199999,2.9581447,3.0539165,3.3833952,3.1318188,0.18213746
3.0,3.7283945,3.6431317,2.890966,3.4208307,0.37628442
2.8000019,3.4703593,3.376102,3.645634,3.497365,0.11168066
3.4000006,3.507206,3.695872,3.5427282,3.5819356,0.08186016
3.8999999,3.5279453,3.3467145,3.4094748,3.4280446,0.075143345
3.8999999,3.8555562,3.904512,3.8200762,3.860048,0.034616757
2.0999913,3.5347466,3.489934,3.5149708,3.5132172,0.018336676
3.7999997,3.4849117,3.1606653,3.446493,3.3640232,0.14464869
3.6,3.218206,2.7394197,3.1441898,3.0339384,0.21043698
3.8999999,3.819242,3.9299607,3.8511636,3.8667889,0.04653148
0.81717235,2.1669493,1.8338317,2.7322984,2.2443597,0.37085927
1.4999619,1.6257267,2.2557116,2.4395807,2.1070063,0.3484963
3.6,3.3926663,3.6764247,3.4628267,3.5106392,0.12067653
3.8999999,3.8660111,3.956288,3.8712604,3.8978531,0.041375235
1.2999429,2.8635182,2.5075989,2.502919,2.6246786,0.16889587
