exp,model1,model2,model3,mean,std
3.199999,3.5442097,3.5303543,3.2494006,3.4413216,0.13582641
3.6,3.3314211,3.8916159,3.8054156,3.6761506,0.24628787
3.4000006,3.4048467,3.2487686,3.437279,3.3636312,0.08229244
3.8999999,3.7111738,3.8745456,3.8379095,3.8078763,0.06999563
3.5000002,3.2817101,3.2369947,3.385826,3.3015106,0.062352385
3.7999997,3.766767,3.7688446,3.6888015,3.741471,0.037252635
3.6,3.4150932,3.5141134,3.3408697,3.423359,0.070967555
3.5000002,2.960413,3.1613102,2.3161194,2.8126142,0.3605276
2.600003,2.4408612,2.61663,2.691647,2.5830462,0.105100885
2.4000022,2.926425,3.3956819,3.5618405,3.2946491,0.26906496
3.2999995,3.0016196,3.094548,3.1809332,3.092367,0.07322074
2.8000019,2.1868763,3.0464132,2.335611,2.522967,0.37508005
4.0,3.8780289,3.9049063,4.0153193,3.9327514,0.059406433
3.199999,3.2127407,3.1703694,3.21735,3.2001534,0.021144344
3.8999999,3.7736135,3.8702216,3.9000301,3.847955,0.05395766
3.5000002,3.1620595,3.2675974,3.1987877,3.2094815,0.043744184
4.0,3.932618,3.9789543,3.991339,3.967637,0.025273187
2.900001,2.819784,2.9426336,3.0191276,2.927182,0.0821119
3.7999997,3.7983832,3.8859181,3.820114,3.8348053,0.03721526
3.8999999,3.881594,3.9792786,3.928813,3.9298952,0.039886918
3.199999,3.224248,3.2184594,3.2099946,3.2175672,0.005853008
3.2999995,3.8785682,3.6340404,3.6319005,3.7148364,0.11577918
3.8999999,3.9039252,3.913134,3.9377763,3.9182787,0.014290416
3.5000002,3.2640917,3.2893682,3.5518105,3.3684235,0.13008416
4.0,3.8467836,3.7653136,3.187626,3.5999076,0.29341844
3.8999999,3.8685,3.8967834,3.9196098,3.8949645,0.02090509
3.4000006,3.324196,3.4167094,3.3536456,3.3648503,0.038590495
3.199999,3.2173862,3.2290637,3.1760132,3.2074878,0.022760706
3.4000006,3.1957605,3.1559033,2.6122339,2.9879658,0.26618046
3.6,3.5151236,3.5507007,3.566192,3.5440054,0.02137932
3.8999999,3.8611097,3.9894793,3.9293318,3.9266403,0.052441202
3.5000002,3.4284859,3.345886,3.2646425,3.3463383,0.06688955
3.1000016,3.1237607,3.077787,3.2254393,3.142329,0.061692208
4.623249,4.488826,4.390361,4.581753,4.48698,0.07814634
