exp,model1,model2,model3,mean,std
3.199999,3.4947267,3.5760412,3.50561,3.5254593,0.036041744
3.6,3.6933317,3.6043518,3.8183742,3.7053528,0.08778676
3.4000006,3.437244,3.4550238,3.6401465,3.510805,0.091746025
3.8999999,3.8693094,3.822373,3.8665566,3.8527462,0.02150663
3.5000002,3.2320693,3.2357323,3.226112,3.2313044,0.0039645773
3.7999997,3.7999794,3.747237,3.7633977,3.7702045,0.022063453
3.6,3.5287895,3.4623313,3.477976,3.4896991,0.028369507
3.5000002,2.6091132,3.1800284,2.936861,2.9086676,0.2339262
2.600003,2.632047,2.6116939,2.6511533,2.6316316,0.01611194
2.4000022,3.0579581,2.9471395,3.572964,3.192687,0.27267563
3.2999995,2.9632607,3.1922987,3.2430782,3.1328793,0.12171681
2.8000019,2.524003,3.1763363,2.918027,2.8727887,0.26822817
4.0,3.9098372,3.906352,3.9664083,3.9275324,0.027526096
3.199999,3.195054,3.18949,3.1686075,3.184384,0.011384506
3.8999999,3.9797392,3.86865,3.8732243,3.9072044,0.05132378
3.5000002,3.0887396,3.1310313,3.0005553,3.0734422,0.05435383
4.0,3.9888787,3.8784323,3.927822,3.9317112,0.045173354
2.900001,3.0385544,2.9621966,3.0201712,3.006974,0.032539748
3.7999997,3.8294501,3.772942,3.8108828,3.804425,0.023516912
3.8999999,3.9059973,3.8549829,3.812224,3.8577347,0.038332235
3.199999,3.2034323,3.236642,3.2487705,3.229615,0.019164568
3.2999995,3.5806937,3.6322963,3.7961686,3.6697195,0.09186122
3.8999999,3.8984149,3.8437538,3.877832,3.8733337,0.022540836
3.5000002,3.609494,3.4829025,3.6004105,3.564269,0.057654157
4.0,3.894155,3.7286298,2.7603507,3.461045,0.5000528
3.8999999,3.7873137,3.8408432,3.8717747,3.8333104,0.034890015
3.4000006,3.048567,3.2952714,3.2876391,3.2104924,0.11454099
3.199999,3.2041283,3.200927,3.2289762,3.2113438,0.012536301
3.4000006,3.2066991,3.3680363,3.3394058,3.304714,0.07028548
3.6,3.4802227,3.562825,3.583181,3.542076,0.04451952
3.8999999,3.94312,3.9173825,3.916308,3.9256032,0.012393826
3.5000002,3.2389657,3.3937027,3.4587245,3.3637974,0.09217452
3.1000016,2.907024,3.080206,3.1349585,3.0407295,0.097150534
4.623249,4.5996466,4.5112,4.468005,4.5262837,0.05479056
2.5774918,3.1841116,2.8242574,2.6951647,2.9011776,0.20688942
4.0,4.492284,4.299104,4.2636213,4.35167,0.10047881
3.199999,3.1683645,3.149812,3.172362,3.163513,0.009824485
4.8,4.487465,4.3567705,4.4856195,4.443285,0.06117961
3.199999,3.214644,3.2127948,3.2362773,3.2212389,0.010660694
3.6,3.311125,2.436757,3.5628164,3.1035662,0.4825715
3.0,3.1116314,2.9366114,3.0914977,3.04658,0.07819286
1.2999429,3.0757453,2.759082,1.8148053,2.5498774,0.5356102
4.0,4.000349,4.2514043,3.848743,4.033499,0.1660486
4.0,3.963047,3.9293208,3.9483523,3.9469068,0.013806563
3.5000002,3.4972658,3.523702,3.6218264,3.547598,0.053585473
3.6999998,3.5810723,3.6936238,3.6836987,3.6527984,0.050879486
3.199999,3.177188,3.1975877,3.2050033,3.1932595,0.011760742
3.7999997,3.3255374,3.4065552,3.412311,3.3814678,0.03961855
3.8999999,3.9088874,3.7687085,3.8469853,3.8415272,0.057357807
4.9,4.357074,4.455907,4.2479825,4.3536544,0.0849192
2.900001,3.019509,3.0540495,2.6906385,2.921399,0.16378047
3.4000006,3.748565,3.692028,3.6665258,3.7023728,0.034281842
3.6,2.9965882,3.4595196,3.4699707,3.308693,0.22073254
3.0,2.2092206,2.2958522,2.328784,2.2779522,0.050425876
3.8999999,3.8992774,3.867053,3.8778448,3.8813918,0.013392508
3.1000016,3.6133075,3.6801214,3.6033225,3.6322505,0.034094438
3.199999,3.3201385,3.4313974,3.4945908,3.4153755,0.07211532
3.8999999,3.7191508,3.8442736,3.8848748,3.8161,0.07052866
3.6999998,3.57838,3.670814,3.6126432,3.6206124,0.038154416
3.1000016,3.372901,2.8741593,3.2002761,3.149112,0.20679963
1.700011,2.0534735,1.5135789,1.7310503,1.7660341,0.22179487
3.4000006,3.3578806,3.3450422,3.2943184,3.3324137,0.027442614
3.1000016,3.7698224,3.6943512,3.7304063,3.7315266,0.030821156
3.8999999,3.8333256,3.2988021,3.7820315,3.6380532,0.24079892
3.2999995,3.4433422,3.2878306,3.3514538,3.3608754,0.06383595
3.6999998,3.6206522,3.6726046,3.7796884,3.6909816,0.06621387
2.4000022,2.1926007,2.0581298,1.858715,2.0364819,0.13716507
3.6999998,3.637309,3.7012358,3.723337,3.687294,0.036478117
