exp,model1,model2,model3,mean,std
3.199999,3.4707637,3.3004057,3.366488,3.379219,0.07012854
3.6,3.4510539,3.4515235,3.354136,3.4189045,0.04579863
3.4000006,3.449592,3.503618,3.5070753,3.4867618,0.026320813
3.8999999,3.6183689,3.6087933,3.5868814,3.6046813,0.013179454
3.5000002,3.2487845,3.171141,3.3148367,3.2449207,0.058727168
3.7999997,3.6669936,3.6363056,3.633635,3.6456444,0.015135251
3.6,3.4802098,3.3842936,3.1494849,3.3379962,0.13893007
3.5000002,3.214695,3.3139398,3.2634676,3.2640343,0.040518515
2.600003,3.3859067,3.3952563,3.338697,3.3732865,0.024754643
2.4000022,3.443872,3.5455742,3.4599078,3.483118,0.044645794
3.2999995,3.4462314,3.3419204,3.417757,3.4019697,0.044023693
2.8000019,3.4510539,3.4778552,3.4129002,3.4472697,0.026652422
4.0,3.7371058,3.886859,3.806044,3.810003,0.0612005
3.199999,3.5358002,3.530895,3.5371392,3.5346115,0.0026841892
3.8999999,3.8694787,3.8602986,3.7764463,3.835408,0.04186022
3.5000002,3.217357,3.289194,3.3908916,3.2991474,0.07119396
4.0,3.5953243,3.5650263,3.5474496,3.5692666,0.019773424
2.900001,3.214695,3.2192268,3.157067,3.1969965,0.028294781
3.7999997,3.5250056,3.5138347,3.553885,3.5309086,0.016874807
3.8999999,3.5567112,3.6098568,3.49678,3.554449,0.04619116
3.199999,3.6183593,3.6379774,3.5869844,3.6144402,0.021001419
3.2999995,3.214695,3.289194,3.2295594,3.2444828,0.032192767
3.8999999,3.693026,3.7216184,3.5913436,3.6686628,0.055905033
3.5000002,3.214695,3.289194,3.323964,3.2759511,0.04558121
4.0,2.9048002,2.870937,2.9251363,2.9002912,0.022355266
3.8999999,3.636254,3.655201,3.6290727,3.640176,0.011021418
3.4000006,3.5606172,3.5153692,3.5820258,3.5526707,0.02778651
3.199999,3.5418882,3.5099323,3.418745,3.4901886,0.0521755
3.4000006,2.8457594,3.0237565,3.0495665,2.9730275,0.09060688
3.6,3.3872323,3.289194,3.2515028,3.3093097,0.057207845
3.8999999,3.744359,3.671513,3.6835535,3.6998084,0.03188315
3.5000002,3.257539,3.250074,3.2493184,3.2523105,0.0037100224
3.1000016,3.3758938,3.2899268,3.326598,3.330806,0.03522183
4.623249,4.5430517,4.277379,4.075035,4.2984886,0.19164915
2.5774918,3.9481435,4.0729737,3.9248915,3.982003,0.06502274
4.0,4.259044,3.8828816,3.899271,4.0137324,0.17359069
3.199999,3.5175812,3.57716,3.5769744,3.5572383,0.02804203
4.8,4.6502147,4.4339027,4.531867,4.5386615,0.08843957
3.199999,3.445642,3.4181798,3.3631775,3.4089997,0.03428606
3.6,3.267901,3.3237734,3.2945876,3.2954206,0.022817433
3.0,3.0047493,3.102463,3.223791,3.1103344,0.089596406
1.2999429,2.5561996,2.4626234,2.7059827,2.5749352,0.10023043
4.0,4.158689,3.8675537,3.8822372,3.9694936,0.13391581
4.0,3.470371,3.4346395,3.4390292,3.4480133,0.01591059
3.5000002,3.5716074,3.5136485,3.3886802,3.491312,0.076331615
3.6999998,3.7784138,3.7383494,3.7415185,3.7527606,0.018185634
3.199999,3.6059763,3.586267,3.5841577,3.5921338,0.0098260455
3.7999997,3.709701,3.6632779,3.6171408,3.6633732,0.03778764
3.8999999,3.5565045,3.5459902,3.526497,3.5429974,0.01243202
4.9,4.5001087,4.748603,4.7382393,4.662317,0.11477655
2.900001,2.6057692,2.4426308,2.6313753,2.559925,0.0835958
3.4000006,3.384448,3.5141115,3.4522629,3.4502742,0.052953564
3.6,3.3933175,3.4214988,3.3099933,3.3749363,0.047341064
3.0,3.49773,3.4613054,3.5738273,3.5109541,0.046878945
3.8999999,3.5999568,3.6277757,3.6063883,3.6113737,0.011891526
3.1000016,3.0242922,3.079695,3.157067,3.087018,0.05445187
3.199999,3.2487845,3.3711774,3.325021,3.314994,0.050467193
3.8999999,3.5565045,3.5459902,3.526497,3.5429974,0.01243202
3.6999998,3.48474,3.4931722,3.4905596,3.4894905,0.0035244236
3.1000016,3.0117831,3.0009265,3.157067,3.0565922,0.07118455
1.700011,3.214695,3.2679079,3.4237423,3.3021152,0.08870473
3.4000006,3.494149,3.5276678,3.5782766,3.5333645,0.03458039
3.1000016,3.214695,3.1357718,3.0445316,3.1316662,0.06952955
3.8999999,3.723617,3.7604773,3.6826417,3.7222455,0.031791035
3.2999995,3.019234,3.0710702,3.157067,3.0824573,0.05684328
3.6999998,3.5808573,3.6318843,3.6009505,3.604564,0.02098783
2.4000022,2.2431238,2.349369,2.4388683,2.3437872,0.08000978
3.6999998,3.478185,3.520138,3.4853692,3.494564,0.01831983
1.700011,2.5240176,2.3094897,2.5331059,2.4555378,0.103338145
3.5000002,3.5565045,3.5459902,3.526497,3.5429974,0.01243202
3.7999997,2.9525602,3.1080844,2.9826186,3.0144212,0.06735724
2.4000022,2.701182,2.6275234,2.8137798,2.7141616,0.07659077
3.8999999,3.214695,3.2679079,3.4237423,3.3021152,0.08870473
4.0,3.6701226,3.6966853,3.6012795,3.656029,0.04020396
3.7999997,3.5417032,3.611585,3.5631866,3.572158,0.029225899
3.8999999,3.7812057,3.6871288,3.6972528,3.721862,0.04216508
3.199999,3.6145957,3.592971,3.6294565,3.612341,0.014980188
3.5000002,3.2206714,3.2720373,3.3031456,3.2652848,0.03400683
3.0,2.952468,2.8887706,2.9810858,2.940775,0.03858386
