exp,model1,model2,model3,mean,std
3.199999,3.720048,3.50176,3.7865746,3.669461,0.121652864
3.6,3.4118123,4.1887536,4.0016694,3.8674119,0.33108738
3.4000006,2.5363734,2.574119,3.821633,2.9773753,0.59717935
3.8999999,3.72966,3.9126854,3.93816,3.8601685,0.09286755
3.5000002,3.129381,3.1748703,3.0657716,3.1233408,0.04474365
3.7999997,3.4720602,3.6300879,3.6402571,3.5808017,0.07700386
3.6,2.9811811,3.3671777,3.6963017,3.34822,0.29225433
3.5000002,3.7787626,4.098645,3.651877,3.843095,0.18797953
2.600003,3.2441556,3.1129532,3.1825647,3.1798913,0.05359653
2.4000022,3.4562793,3.0860448,3.492227,3.3448505,0.18359068
3.2999995,4.335351,3.0268545,4.113037,3.8250809,0.5716816
2.8000019,3.6099534,4.376917,3.743865,3.9102452,0.3344847
4.0,3.3424122,3.4748542,3.8056455,3.5409706,0.19480723
3.199999,3.8029823,3.2549407,3.1955009,3.4178078,0.27343827
3.8999999,3.5258844,3.6928778,4.0701556,3.7629726,0.22765875
3.5000002,3.1097605,3.208789,2.317842,2.8787973,0.3987102
4.0,3.787284,3.5678892,4.075706,3.8102932,0.20795278
2.900001,2.785873,3.1429672,3.1526442,3.0271614,0.17066246
3.7999997,3.7980294,3.8833613,3.8822784,3.8545563,0.039973058
3.8999999,3.8137102,4.0108466,3.9099705,3.9115093,0.08048795
3.199999,2.8620057,3.2068079,3.0017521,3.0235217,0.14160408
3.2999995,3.858357,3.3148465,4.9012036,4.0248027,0.65823513
3.8999999,3.803757,3.7935767,4.2767477,3.9580271,0.22540781
3.5000002,3.729249,3.6784575,3.860899,3.7562017,0.07688113
4.0,3.7569714,3.7970395,3.8631525,3.8057213,0.043780793
3.8999999,3.0352242,3.5841346,3.529933,3.3830974,0.24697666
3.4000006,2.465513,2.811254,3.4275267,2.901431,0.39788318
3.199999,3.1565175,3.1145916,3.1544728,3.1418607,0.019300187
3.4000006,4.0986814,3.2849522,3.120999,3.5015442,0.427512
3.6,3.5643346,3.609075,3.6145945,3.5960014,0.022504866
3.8999999,3.722151,3.7247353,3.6476002,3.698162,0.035768285
3.5000002,2.9743147,3.4253654,2.9188983,3.1061928,0.22682022
3.1000016,3.1684682,3.1029782,2.7621987,3.011215,0.17809941
4.623249,4.6745877,3.6394572,4.0375667,4.117204,0.42632565
2.5774918,2.9096146,3.1633835,3.3725343,3.1485107,0.18927856
4.0,3.2430403,3.1038125,3.0115435,3.1194656,0.0951541
3.199999,2.9918115,3.1527786,3.0556085,3.0667331,0.066183664
4.8,3.657874,4.7736273,2.5957184,3.67574,0.8892173
3.199999,3.1574218,3.1093702,3.1974242,3.1547387,0.0359979
3.6,3.5553632,3.7044249,3.6643624,3.6413834,0.06298608
3.0,3.464538,2.954143,3.2569294,3.2252035,0.20957206
1.2999429,3.2090406,3.614446,3.6324413,3.4853094,0.19548951
4.0,1.9461448,3.098447,2.9821754,2.6755893,0.51797456
4.0,3.742357,3.9118237,3.9209137,3.8583648,0.0821138
3.5000002,3.6190991,3.4889898,3.6781244,3.5954044,0.07901077
3.6999998,3.7305567,2.5769079,3.6803534,3.3292725,0.5323969
3.199999,3.185052,3.0934486,3.197991,3.1588306,0.04653274
3.7999997,2.9249861,3.129188,3.987702,3.347292,0.46044776
3.8999999,3.6251087,3.594409,3.7672157,3.6622446,0.07527655
4.9,3.046309,4.06339,3.0375614,3.3824203,0.48153156
2.900001,3.3177722,3.7028065,3.6318989,3.5508258,0.16731703
3.4000006,2.5468767,1.3198024,1.2893915,1.7186903,0.58574784
3.6,3.2178805,3.8065145,3.7948039,3.6063995,0.27476612
3.0,2.9370737,2.8129656,0.65519977,2.1350796,1.047659
3.8999999,4.225589,4.240993,0.97343206,3.1466713,1.536725
3.1000016,3.661193,3.6270862,3.6508377,3.646372,0.014277541
3.199999,3.7360928,3.1144571,3.762541,3.5376968,0.29947048
3.8999999,3.6225638,3.3722866,3.7543092,3.5830529,0.1584427
3.6999998,3.653944,3.6638434,3.5897672,3.6358516,0.03283619
3.1000016,3.7378917,3.7375917,3.7352066,3.7368965,0.0012013164
1.700011,3.4466627,3.1912777,3.1953697,3.27777,0.1194368
3.4000006,3.8863626,3.442101,3.4313672,3.58661,0.21200219
3.1000016,2.8315678,3.762611,3.7447367,3.446305,0.4347462
3.8999999,3.6158144,3.5009727,3.6964376,3.6044083,0.08020475
3.2999995,2.7887416,3.3919387,2.8277948,3.002825,0.27560645
3.6999998,3.6507537,3.624484,3.648879,3.6413724,0.011966275
2.4000022,3.3102667,3.71284,2.4126651,3.1452572,0.54346716
3.6999998,3.616849,3.592197,3.6751432,3.6280632,0.03477872
1.700011,3.648509,3.5100033,3.676238,3.6115835,0.0727146
3.5000002,3.153041,3.2416215,3.3786829,3.2577817,0.092824
3.7999997,3.2550516,3.4478824,3.5619643,3.4216328,0.12666394
2.4000022,2.9847558,2.9605057,3.179101,3.0414543,0.09783321
3.8999999,3.7917469,3.5588255,3.7635703,3.7047145,0.10379826
4.0,3.8670344,3.4905431,3.184235,3.5139377,0.27924207
3.7999997,3.6659753,3.434123,3.6004827,3.5668604,0.097593434
3.8999999,3.7046697,2.9015803,3.6409347,3.4157283,0.3644874
3.199999,1.4612055,3.1497035,3.233879,2.6149294,0.81652945
3.5000002,3.3087878,3.1433322,3.5004091,3.3175097,0.14590643
3.0,2.8549361,3.5179882,4.619546,3.6641567,0.7277756
3.8999999,3.484809,4.062786,4.276507,3.9413674,0.3344182
3.8999999,4.0995026,3.7926147,4.2325597,4.041559,0.18422085
3.2999995,3.80283,3.6983724,3.8259687,3.7757237,0.055505387
4.879096,3.8255556,3.6442695,3.844051,3.7712917,0.09013529
4.4771214,3.680167,3.7459197,3.7456791,3.7239218,0.030939596
3.8999999,3.765014,3.7450035,3.778465,3.7628276,0.013747838
2.6294096,2.8020651,2.4362848,3.3156953,2.8513482,0.36070517
2.900001,3.6307168,3.391441,3.3422012,3.4547863,0.12601528
2.8000019,3.6664107,3.5549464,3.923018,3.7147915,0.15410972
4.4,3.2256794,3.762947,3.7430117,3.5772126,0.2487048
4.4913616,3.6749597,4.6230955,3.7119594,4.0033383,0.43849483
3.199999,3.1890295,3.0968451,3.6951547,3.32701,0.26302406
3.7999997,3.3904352,2.250617,3.6777806,3.1062775,0.61631066
1.700011,3.7022066,3.577522,3.7128086,3.664179,0.061428457
4.69897,2.8205738,4.4643984,3.476936,3.587303,0.675611
3.6999998,3.6631296,3.6502285,3.5593097,3.6242228,0.046201516
3.7999997,3.6562989,3.5543885,3.9681249,3.7262707,0.17600471
2.200002,3.271913,3.6964893,2.1131546,3.0271857,0.66915655
4.0,3.9662013,3.8246148,3.8832183,3.8913448,0.05808739
3.4000006,3.2270424,3.7263815,3.5460706,3.4998314,0.20645972
0.80002934,2.7084765,3.578566,3.3153212,3.2007878,0.364328
3.2999995,3.667555,3.6453974,3.7797253,3.6975594,0.058800135
3.199999,2.3114653,3.0293238,2.722393,2.6877272,0.29408786
0.80002934,3.868609,4.1952124,4.46275,4.1755238,0.24295625
4.0,3.1801019,3.097461,5.0024796,3.7600143,0.87920326
3.6,3.7274003,3.801993,2.6874084,3.4056005,0.50875074
4.0,3.7324922,3.7656188,3.7889547,3.762355,0.023165956
4.0,3.9659743,3.8616283,3.9898891,3.939164,0.055688478
3.199999,2.568856,3.1248941,3.1354144,2.943055,0.2646334
3.0,3.683988,3.9584613,3.8756404,3.839363,0.11495189
2.8000019,3.3666873,3.3225973,3.5028234,3.3973694,0.07670897
3.4000006,3.4920576,3.4708347,3.733765,3.5655525,0.119259335
3.8999999,3.7182014,3.6258187,3.4198048,3.5879414,0.1247294
3.8999999,3.7889438,2.9334843,3.3832116,3.3685467,0.34939378
2.0999913,3.5381284,3.5037155,3.6957083,3.5791843,0.08358422
3.7999997,3.515027,3.5242639,3.7835104,3.6076005,0.1244443
3.6,3.4581625,3.5798798,3.969553,3.6691983,0.21811834
3.8999999,3.7129583,3.731735,3.693844,3.7128458,0.015469104
0.81717235,3.1416814,2.9363527,3.246137,3.108057,0.1286844
1.4999619,3.0878785,3.1223683,3.0951836,3.1018102,0.014839608
3.6,3.4657614,3.4571304,3.6696224,3.530838,0.098198585
3.8999999,3.724914,3.5954928,3.7970076,3.7058048,0.08337033
1.2999429,3.6153147,3.4797783,3.9827352,3.692609,0.21248098
1.8999846,3.6987636,3.6637993,3.786074,3.7162123,0.051420577
2.500003,3.5019736,3.1387806,3.4354427,3.3587322,0.15788321
3.7999997,3.6394029,3.907124,3.9463363,3.8309543,0.1363901
3.8999999,2.346736,3.8045082,4.859525,3.6702564,1.0302249
3.2999995,2.974195,3.0216634,2.6414251,2.8790944,0.16917124
4.0,3.846107,3.6090322,3.796401,3.7505133,0.10207964
3.6,3.6468878,3.6522558,3.630186,3.64311,0.009397597
3.4000006,2.478182,3.893692,3.480234,3.284036,0.5942992
3.5000002,3.207811,3.1468887,3.1533456,3.1693485,0.027324637
3.1000016,2.6551526,3.1312582,3.2953053,3.0272388,0.27149454
1.8000294,1.7516466,3.1354136,3.1078265,2.664962,0.64590985
3.5000002,3.2561617,3.1094983,3.4814506,3.2823703,0.15297559
3.8999999,3.538916,3.654329,4.8097773,4.0010076,0.5738243
3.4000006,3.4593544,3.8463595,3.3370705,3.5475948,0.21707694
4.0,3.119036,4.00469,3.6999526,3.607893,0.36738
2.3000083,3.7216501,3.9323175,3.6798866,3.7779515,0.110476896
3.6,2.8727326,3.4070482,3.5725503,3.2841103,0.29863185
3.6999998,3.7383928,3.612742,3.7215455,3.6908934,0.055687804
5.30103,4.172543,3.6396706,3.6967893,3.8363342,0.23887636
3.4000006,2.1621857,3.1884806,2.9798863,2.7768507,0.44289795
3.8860567,3.8144279,3.8567786,4.086013,3.919073,0.11930368
3.199999,2.956295,3.1984954,2.8833952,3.0127285,0.13468628
4.0,3.7627213,3.9743438,3.9083736,3.881813,0.088412374
3.369216,3.7068377,3.8753808,3.6402571,3.740825,0.09895165
3.7999997,3.7801776,3.6581025,3.7626705,3.7336502,0.05389629
4.0,3.8812299,3.8875937,3.8861938,3.885006,0.0027304632
3.6,3.4238176,3.5639453,3.6782424,3.555335,0.10404677
4.4,3.4437032,2.2610316,3.5114498,3.0720615,0.5741513
3.5000002,3.5426857,2.5441318,3.6674922,3.2514365,0.5027287
3.1000016,2.9834602,3.5611382,2.706651,3.0837498,0.35597807
3.2999995,3.280267,3.7627888,2.964656,3.335904,0.32820272
3.6999998,3.506517,3.5893447,2.9288263,3.3415625,0.29380104
5.0,4.5342817,4.0219636,3.5009494,4.0190654,0.42186114
4.0,3.8642383,3.8791835,3.846408,3.8632765,0.013397869
1.690196,4.8400126,3.1551514,3.7354138,3.9101925,0.69885623
3.4000006,3.7100859,3.7238863,3.657795,3.6972558,0.028466063
3.199999,3.0952098,4.2998896,3.6668253,3.6873083,0.49202168
3.6,3.459365,3.6522236,3.4560857,3.5225582,0.09169715
3.6,3.4670815,3.4373715,3.3596869,3.42138,0.04527841
3.199999,3.260945,3.1412444,3.2082868,3.203492,0.04898506
3.8999999,4.534253,4.884876,3.8941712,4.4377666,0.41016755
3.8999999,3.713775,3.726375,2.5500977,3.3300827,0.5515566
4.0,3.7914252,3.8721015,3.8309338,3.8314867,0.03293829
3.4000006,3.660254,3.5939236,3.6074893,3.6205556,0.02861209
1.5999922,2.1183732,4.752209,3.269426,3.380003,1.0780982
3.5000002,3.063534,2.9018166,2.7435327,2.902961,0.13064252
3.199999,2.1513734,3.4430776,3.4300444,3.0081651,0.6058666
3.6999998,2.2026129,3.008548,2.3523555,2.521172,0.35000682
3.6,3.5397348,3.6534967,3.5000484,3.5644267,0.06503262
4.0,3.8191192,3.8311174,4.0184813,3.8895729,0.09128368
3.199999,3.1524425,3.1067004,3.2114925,3.1568785,0.042896044
0.49968708,3.252884,2.7906113,3.829657,3.2910507,0.42504632
3.4000006,3.476279,3.3437262,3.177236,3.332414,0.122345544
3.199999,3.663299,3.5424533,3.7384183,3.648057,0.080725126
3.4000006,3.3803246,3.5705454,3.634501,3.528457,0.10795055
3.7999997,4.3770742,3.8934276,3.595767,3.955423,0.32196563
4.0,2.6148193,2.9174666,3.2739124,2.9353993,0.26937228
3.1000016,3.9641,3.6270528,2.453892,3.3483484,0.64727074
3.5000002,3.851033,2.921715,3.4227748,3.3985074,0.37978032
2.900001,3.1525056,3.5574734,3.6386337,3.4495375,0.21263072
3.1000016,2.7769299,2.9569044,3.4192781,3.0510375,0.27055326
4.0,1.8013203,3.4210932,3.3594089,2.8606074,0.74945235
4.7,3.5621004,1.4711585,3.02631,2.6865227,0.8867923
3.8999999,3.7622044,3.7641985,3.7708726,3.7657585,0.0037067048
3.199999,3.1627166,3.1999888,3.2422884,3.2016647,0.032506622
2.900001,3.6259568,3.7599683,5.591789,4.325905,0.8967856
2.3000083,3.0397518,3.7946167,3.7850711,3.5398133,0.35361832
4.0,3.77573,3.0215828,2.1780694,2.9917939,0.6525822
4.0,3.5717406,3.8011894,3.649299,3.6740763,0.09529648
3.199999,3.763318,3.7233396,3.8276997,3.7714527,0.042991348
3.199999,3.4287424,3.682538,3.2838047,3.4650285,0.16479196
3.199999,3.3997364,3.1220756,3.2704842,3.264099,0.113444455
1.0,3.416504,3.6232228,3.6280007,3.5559092,0.0985937
3.4000006,3.0866082,1.7309905,3.3167362,2.7114449,0.6996227
3.8999999,4.3350153,3.3560092,3.5229743,3.7379997,0.42762142
4.0,3.7818134,3.8195162,3.857079,3.8194695,0.03072709
3.8999999,3.144839,3.8517933,4.199727,3.7321198,0.43889138
3.199999,3.122735,3.0290473,3.2627196,3.1381671,0.09601844
3.8999999,3.7986488,3.813064,3.8580337,3.8232489,0.025290795
2.200002,3.670847,3.5023751,2.8291352,3.334119,0.36364108
3.7999997,3.2608411,3.6722162,3.803306,3.5787878,0.23110418
5.0,4.7926683,4.51316,4.836899,4.7142425,0.14332859
3.4000006,2.5489166,3.221407,1.1409372,2.3037536,0.86685914
3.4000006,3.131401,3.4833288,3.3968983,3.3372095,0.14974503
4.0,3.832423,3.8860297,3.8740058,3.864153,0.0229671
4.0,4.0050306,3.770854,2.4803777,3.4187539,0.67038417
3.0,3.2023137,3.1663759,3.1955132,3.1880677,0.01558759
3.8999999,3.7343426,3.8369467,3.2911391,3.6208096,0.23684567
3.2999995,4.461961,3.574136,3.2627118,3.7662694,0.50809187
3.8999999,3.6314654,3.0984907,3.6340725,3.4546764,0.25186342
4.0,2.4392133,3.4727294,2.7627828,2.891575,0.43164763
3.8999999,3.7405565,3.6462302,3.7955139,3.7274334,0.061647173
2.200002,3.1625648,3.1874993,4.3075266,3.5525303,0.5339601
3.4000006,3.7249746,3.9310677,3.1989036,3.6183155,0.30827287
3.8999999,3.6936176,3.7071197,3.7116117,3.704116,0.0076469
3.6,3.6331413,3.385679,3.5612776,3.5266993,0.103942744
3.8999999,4.0488806,3.798717,3.932524,3.9267073,0.10221163
4.9,2.6959825,4.8635902,3.905541,3.8217046,0.8869056
3.9172492,3.2882557,3.3637779,3.7901702,3.4807346,0.2209656
4.2304487,3.5050437,3.9475605,3.3880825,3.6135623,0.24095106
2.900001,3.7282007,3.6836684,3.7956152,3.7358282,0.04601924
3.6,2.7937143,3.642755,3.0870514,3.174507,0.35209268
3.5000002,3.697563,3.691177,3.0483007,3.4790134,0.3045711
4.0,3.248833,3.5539763,3.4982672,3.4336922,0.13267899
4.9542427,4.539703,3.9442673,0.97343206,3.1524677,1.559868
3.2999995,3.3587296,3.281795,2.725598,3.122041,0.28208143
