exp,model1,model2,model3,mean,std
3.199999,3.5016768,3.5437694,3.350856,3.465434,0.082821235
3.6,3.707349,3.7568715,3.6307614,3.6983273,0.051877946
3.4000006,3.4156375,3.442379,3.6234567,3.4938242,0.09231172
3.8999999,3.8784137,3.894676,3.8387442,3.8706112,0.023491131
3.5000002,3.2221525,3.205805,3.2919593,3.2399724,0.037361268
3.7999997,3.759068,3.7710295,3.7938504,3.7746494,0.014428708
3.6,3.3823202,3.5132165,3.2974243,3.3976536,0.08876149
3.5000002,2.961625,3.110755,3.4500575,3.174146,0.20437768
2.600003,2.7510178,2.746708,2.974322,2.8240159,0.10629706
2.4000022,2.7457147,2.6650174,2.9856677,2.7988002,0.1361805
3.2999995,3.179008,3.2353344,3.1691458,3.1944962,0.029156383
2.8000019,2.9705312,2.8013904,2.8720496,2.8813238,0.06936215
4.0,3.9391532,3.9142141,3.9041014,3.9191563,0.0147303725
3.199999,3.180989,3.1592834,3.154475,3.1649158,0.011533768
3.8999999,3.9156137,3.8069434,3.8106318,3.8443964,0.0503808
3.5000002,3.2770627,3.4692957,3.1883984,3.3115857,0.117245354
4.0,3.9123688,3.9918907,3.939666,3.9479752,0.03299206
2.900001,2.9938998,2.808487,3.0023599,2.9349155,0.089465216
3.7999997,3.8216677,3.82774,3.807876,3.8190944,0.008310984
3.8999999,3.8699355,3.8763967,3.9157531,3.8873618,0.02024827
3.199999,3.250349,3.1866572,3.1908746,3.2092934,0.029081592
3.2999995,3.613932,3.587964,3.4008894,3.5342617,0.0949025
3.8999999,3.839421,3.9351745,3.8651638,3.8799198,0.040459726
3.5000002,3.2982616,2.801165,3.6356874,3.245038,0.34276465
4.0,3.4920034,3.7541633,3.1325023,3.4595563,0.254827
3.8999999,3.8483348,3.8511896,3.9486573,3.8827274,0.04663415
3.4000006,3.3878472,3.3958259,3.175917,3.3198633,0.10183759
3.199999,3.217468,3.1884515,3.1708384,3.1922524,0.019225292
3.4000006,3.200839,3.2705514,2.7606263,3.0773392,0.22575077
3.6,3.5139577,3.610053,3.5552619,3.5597575,0.03935934
3.8999999,3.8613372,3.9873898,3.8452644,3.8979971,0.06354982
3.5000002,3.4194756,3.4084558,3.3108423,3.3795912,0.04882057
3.1000016,3.1117144,3.1866357,3.2121649,3.1701717,0.042629223
4.623249,4.387574,4.542898,4.360875,4.430449,0.080257066
