exp,model1,model2,model3,mean,std
3.199999,3.1377213,3.17507,3.1640646,3.158952,0.015670283
3.6,3.4790177,3.465688,3.474704,3.4731367,0.0055535682
3.4000006,3.3445516,3.2374802,3.2701712,3.2840679,0.044802565
3.8999999,3.8384438,3.8313313,3.8642042,3.8446598,0.014121753
3.5000002,2.9981916,2.975054,2.9741101,2.9824517,0.011136303
3.7999997,3.5781393,3.575543,3.567772,3.5738182,0.004404703
3.6,3.1677802,3.1299305,3.1987817,3.1654975,0.028154707
3.5000002,3.3993182,3.367735,3.4119017,3.392985,0.018578831
2.600003,3.064661,3.0944285,3.0707192,3.076603,0.012844963
2.4000022,3.3198798,3.3184135,3.283514,3.307269,0.016808037
3.2999995,3.0805373,3.1276238,3.1104167,3.1061926,0.01945364
2.8000019,3.5744126,3.5987835,3.5720263,3.5817406,0.012090335
4.0,3.5834,3.6105504,3.5764856,3.5901453,0.014702083
3.199999,3.1351018,3.1427739,3.127883,3.135253,0.006080127
3.8999999,3.428513,3.3751137,3.4296656,3.4110975,0.025448684
3.5000002,3.0769713,2.9630442,2.9950702,3.0116951,0.04797319
4.0,3.683151,3.66435,3.7483945,3.698632,0.036014903
2.900001,2.9623952,2.931795,2.947978,2.9473894,0.012499456
3.7999997,3.6498582,3.7324042,3.7489183,3.7103937,0.04333263
3.8999999,3.7882338,3.7622824,3.7922406,3.7809188,0.013279165
3.199999,3.064661,3.0944285,3.0707192,3.076603,0.012844963
3.2999995,3.1677802,3.1299305,3.1987817,3.1654975,0.028154707
3.8999999,3.7790902,3.7666972,3.751429,3.7657387,0.011312906
3.5000002,3.5744126,3.5987835,3.5720263,3.5817406,0.012090335
4.0,3.8297005,3.8219855,3.8561568,3.8359478,0.01463307
3.8999999,3.577526,3.6101112,3.583323,3.5903199,0.014193133
3.4000006,3.1849167,3.2277443,3.2640915,3.225584,0.03235903
3.199999,3.1406362,3.1606917,3.1669846,3.156104,0.011235161
3.4000006,3.139644,3.1439483,3.2757118,3.1864347,0.0631529
3.6,3.5762591,3.6114724,3.5538125,3.580515,0.023731092
3.8999999,3.660489,3.66435,3.610804,3.6452143,0.02438277
3.5000002,3.4350348,3.4532535,3.4541643,3.4474843,0.008810921
3.1000016,2.9672976,2.9078667,2.9407868,2.9386501,0.024309525
4.623249,3.7755022,3.7733488,3.756784,3.7685452,0.008362641
2.5774918,3.0676627,3.0881736,3.0506027,3.068813,0.015359828
4.0,3.498936,3.4079268,3.4550228,3.4539616,0.037161898
