exp,model1,model2,model3,mean,std
3.199999,3.320948,3.3485825,3.2991767,3.3229024,0.02021713
3.6,3.7564938,3.5842435,3.6562974,3.6656783,0.07063303
3.4000006,3.5452178,3.5608284,3.3930197,3.4996884,0.0756951
3.8999999,3.900051,3.8156276,3.819439,3.8450394,0.0389304
3.5000002,3.355091,3.2630632,3.26647,3.294875,0.042602096
3.7999997,3.7715635,3.823432,3.7469816,3.780659,0.031866495
3.6,3.6294103,3.3918085,3.5531561,3.5247917,0.09905237
3.5000002,3.0071073,3.0764816,2.6486158,2.910735,0.18749756
2.600003,2.6378229,3.0942147,3.0220006,2.9180126,0.20030557
2.4000022,3.6727335,2.5969446,3.0775943,3.1157577,0.44001728
3.2999995,2.9728134,3.198502,3.1301029,3.1004727,0.09448917
2.8000019,2.5838761,2.1376762,2.6335585,2.4517038,0.22297531
4.0,3.8423147,3.9033337,3.841185,3.862278,0.029034525
3.199999,3.2067811,3.1721826,3.1519527,3.1769722,0.02263837
3.8999999,3.9381337,3.8787413,3.605799,3.807558,0.14471096
3.5000002,2.7902958,3.3211737,3.523506,3.2116585,0.3091865
4.0,3.920534,3.8817747,3.8769608,3.89309,0.019505186
2.900001,2.9123642,3.07202,2.9195623,2.9679823,0.07362453
3.7999997,3.8243313,3.809712,3.7317986,3.788614,0.040615395
3.8999999,3.8749454,3.9132245,3.9527104,3.9136267,0.031748697
3.199999,3.2230337,3.2126899,3.2254164,3.2203798,0.0055240532
3.2999995,3.6206172,3.6712708,3.337339,3.5430756,0.14694023
3.8999999,3.9317663,3.8753195,3.9013586,3.9028149,0.0230673
3.5000002,3.2916842,3.5217052,3.4495723,3.4209871,0.096056394
4.0,3.756224,3.79286,3.6930103,3.7473648,0.041242003
3.8999999,3.7481713,3.9685955,3.8973062,3.8713577,0.09183935
3.4000006,2.7878637,3.458796,3.0823393,3.109666,0.2745877
3.199999,3.2013628,3.1911123,3.2017522,3.1980755,0.0049264967
3.4000006,2.9603503,3.3253753,3.279491,3.1884053,0.16234374
3.6,3.620389,3.5367622,3.4963384,3.5511634,0.051657073
3.8999999,3.9225776,3.933032,3.881649,3.9124196,0.022172706
3.5000002,3.346623,3.491901,3.3366919,3.3917387,0.07094142
3.1000016,3.1209939,3.0662963,3.046822,3.0780373,0.031398013
4.623249,4.4730268,4.4098926,4.4605036,4.447808,0.027293125
2.5774918,3.813578,2.5562634,2.4849253,2.9515889,0.61021364
4.0,4.0312066,4.132976,4.376041,4.1800747,0.14466369
3.199999,3.2079535,3.163889,3.1969633,3.189602,0.018727222
4.8,4.398962,4.317644,4.2261662,4.314257,0.070584215
3.199999,3.1973224,3.1974132,3.189544,3.1947596,0.0036883727
3.6,3.48659,3.508922,3.667215,3.5542424,0.08040237
3.0,2.4251847,2.3272438,2.1096606,2.287363,0.13186286
1.2999429,2.3263674,1.9794548,2.611981,2.3059344,0.25863162
4.0,3.7235806,3.6592565,3.7737992,3.7188787,0.046879914
4.0,3.9651275,3.8980174,3.9169564,3.9267006,0.028250655
3.5000002,3.5866525,3.3226182,3.5130095,3.4740934,0.11124859
3.6999998,3.7195034,3.6988301,3.607372,3.675235,0.048723035
3.199999,3.102501,3.1905053,3.1908567,3.1612875,0.04156873
3.7999997,3.2614114,3.4718282,3.4634268,3.3988888,0.09727169
3.8999999,3.8964138,3.6543422,3.7990925,3.783283,0.09945561
4.9,4.7099185,4.4573736,4.7137113,4.627001,0.11995475
2.900001,3.4892015,3.3034153,3.476355,3.4229908,0.08471503
3.4000006,3.645926,3.3899055,3.2170074,3.417613,0.17619795
