exp,model1,model2,model3,mean,std
5.0,5.136078,5.088331,5.2060905,5.1435,0.048360612
5.0,4.999909,5.0101914,5.0056257,5.005242,0.0042065782
5.0,4.999909,5.0114336,4.995578,5.002307,0.006691477
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.100788,5.0709367,5.057211,0.042311884
6.455932,5.781584,5.6601486,5.4470534,5.6295953,0.13826971
8.0,7.874228,7.875243,7.7542896,7.834587,0.056780286
6.167491,5.412637,5.584379,5.832039,5.6096854,0.1721525
5.0,4.999909,5.018504,5.0056257,5.0080132,0.0077768723
5.0,5.0380464,4.9920793,5.0673327,5.032486,0.030972665
5.0,4.999909,5.0130115,5.0585747,5.023832,0.0251426
5.0,5.411174,5.393605,5.170832,5.3252034,0.109392576
5.0,5.07683,5.0128145,5.0143404,5.034662,0.029823996
5.0,4.999909,5.022784,5.0056257,5.00944,0.009720402
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
7.39794,5.6582193,5.4522033,5.8505507,5.6536574,0.16265662
5.0,5.0926037,4.985001,4.98838,5.021995,0.049946994
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
9.30103,7.2407036,8.450817,8.344802,8.012108,0.54717934
5.823909,5.020955,6.3031006,6.3433094,5.889122,0.6141059
5.0,4.9617705,5.0589375,5.414577,5.1450953,0.1946377
5.0,5.0393476,5.068583,5.1612816,5.0897374,0.05197822
5.0,5.0595326,5.0492554,5.0881505,5.0656457,0.016456796
5.0,4.999909,4.9607263,5.05837,5.006335,0.040121086
5.0,4.999909,5.019294,5.2398915,5.0863647,0.1088479
5.0,5.2570214,5.247097,5.3127937,5.272304,0.028915783
5.0,4.999909,5.0031967,5.0056257,5.00291,0.0023426353
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,5.0125246,5.008124,5.0056257,5.008758,0.0028519335
5.0,4.999909,5.2756414,4.9513493,5.0756335,0.14280985
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.279572,5.0056257,5.0950356,0.13050786
6.481486,5.0500026,5.1517196,5.2435317,5.148418,0.07904242
5.0,4.9809194,5.0084314,5.0056257,4.998326,0.0123611875
7.823909,6.9339094,7.017342,6.8793454,6.9435325,0.05674634
5.0,5.5104523,5.230221,5.600967,5.4472136,0.15782385
7.29243,6.2906017,6.748644,5.9370914,6.3254457,0.3322298
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,5.0402207,5.0260315,5.1037946,5.056682,0.033813316
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.853872,5.0110574,5.3200035,5.0782557,5.136439,0.13266723
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.3565474,5.888743,5.536461,5.3534856,5.592896,0.22213185
6.017729,7.4047737,7.2119246,6.008865,6.8751874,0.6176213
8.387217,8.01226,8.277986,8.614273,8.301506,0.24633272
5.3467875,5.596123,5.28219,7.362897,6.080404,0.9158715
5.251812,5.315548,5.4381046,5.3250813,5.3595777,0.055662964
5.7447276,5.5896425,5.28185,5.391142,5.420878,0.12740295
6.004365,5.079277,5.420491,5.133278,5.211015,0.14975339
6.60206,5.4946566,5.8098655,6.3207426,5.8750877,0.34038708
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
6.221849,6.242324,5.756966,6.4162765,6.1385226,0.2789906
5.0,5.0038004,5.0128903,4.9981947,5.004962,0.0060554193
5.0,4.999909,5.006841,4.968332,4.991694,0.01676021
6.0132284,5.790782,6.0019746,6.251251,6.0146694,0.18819997
5.6197886,5.178965,5.2520986,5.7090664,5.380043,0.23456235
5.79588,5.201035,5.5226626,5.024659,5.249452,0.20617151
5.0,4.999909,5.006841,4.994586,5.0004454,0.00501752
7.5686364,7.0289555,6.9881916,7.0063343,7.0078273,0.016675219
5.0,4.999909,5.0300274,5.0484977,5.0261445,0.020025374
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,4.9979577,4.997848,4.9985714,0.0009467222
7.221849,5.7085676,5.4987826,6.450527,5.885959,0.4082934
5.0,4.9976535,5.0084643,5.028847,5.0116553,0.012933098
5.0,4.973057,5.363264,5.698262,5.3448615,0.2963497
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
6.4202166,6.246233,6.332261,6.426232,6.334909,0.07350807
5.0,5.043139,5.110568,5.0198793,5.0578623,0.0384594
5.920819,6.833645,5.8497376,5.800201,6.1611943,0.47592407
6.4436975,6.0617294,6.2145967,5.845879,6.0407352,0.15125862
5.0,5.3859525,4.99929,4.992756,5.1259995,0.1838339
5.0,5.001317,5.006841,4.983709,4.997289,0.009863897
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
6.4202166,5.46531,5.588894,5.992053,5.6820855,0.22491193
5.0,5.004143,5.002684,4.9997745,5.0022006,0.0018160217
5.0,5.00646,5.140401,5.0056257,5.050829,0.063337855
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.997508,5.006841,5.050733,5.0183606,0.02320563
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.993301,4.9782476,4.9672103,4.979586,0.010693428
5.0,4.999909,5.015097,5.0056257,5.0068774,0.0062633986
5.0,5.0155077,5.0125017,5.0521393,5.026716,0.018018648
8.769551,7.1920714,7.150304,7.1252975,7.155891,0.027545115
5.7212462,5.665733,5.9542828,5.499066,5.7063603,0.18804885
5.0,5.026158,5.010264,6.079857,5.372093,0.50050676
5.0,5.1458817,5.4929504,5.03478,5.2245374,0.19514109
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,5.071414,4.9351206,5.057911,5.021482,0.06131494
5.0,5.0001936,5.006841,5.0056257,5.00422,0.0028901321
5.0,5.018868,5.103766,4.996174,5.0396028,0.04630665
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,5.0566716,5.0075817,5.0839033,5.0493855,0.031581238
5.8860564,5.996621,6.745466,6.7037153,6.481934,0.3435912
5.0,4.9700904,5.5694094,5.3811655,5.306888,0.2502447
7.091515,5.5007267,5.752186,5.881995,5.7116356,0.15827116
6.318759,5.807628,5.6911435,5.349803,5.616192,0.19427526
6.0409584,5.4995503,5.828128,5.852546,5.726742,0.16095738
6.4436975,5.002099,5.206344,5.215576,5.14134,0.09853018
5.0,5.9794917,6.295181,4.9697685,5.7481475,0.56528443
5.0,5.3918734,5.0494404,5.360826,5.2673798,0.15462689
5.0,5.780076,5.6104455,5.2138195,5.5347805,0.23728396
5.0,5.0606303,5.013612,5.0091515,5.0277977,0.02328736
5.0,4.9822435,5.13765,5.066174,5.0620227,0.0635123
5.0,4.9961987,5.006841,5.0056257,5.0028887,0.0047564036
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.2596374,5.2991,5.197291,5.2889266,5.2617726,0.045784127
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
7.5228786,6.0970583,6.377961,6.7738204,6.4162803,0.27761242
5.0,4.980164,5.006841,4.96381,4.983605,0.017735122
7.2676063,8.186288,7.997283,9.346353,8.5099745,0.596421
5.0,5.1914687,5.033206,5.0056257,5.0767665,0.08188432
5.69897,6.1907763,5.596624,5.08722,5.6248736,0.45096755
5.0,4.999909,5.1987576,5.0060964,5.0682545,0.09231436
5.0,5.0033374,5.0457582,5.058518,5.035871,0.023587266
9.275724,7.632598,5.3254757,7.0388126,6.665629,0.9781455
5.0,5.1476693,5.1337943,4.9978604,5.0931077,0.067587994
5.0,4.999909,4.9987416,5.0056257,5.0014253,0.0030080485
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,5.0753546,5.0322843,5.1702666,5.0926356,0.057641115
5.0,5.037461,5.2507577,5.579032,5.2890835,0.22275019
6.070581,5.6656466,6.634902,6.213857,6.1714687,0.39683047
5.7447276,5.774146,4.930147,5.8328104,5.5123677,0.41238824
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,5.000149,5.006841,4.996236,5.0010753,0.004378895
5.251812,5.3142486,5.0259757,5.6066957,5.31564,0.23707996
5.0,5.2758465,5.0037327,4.9997435,5.0931077,0.12922621
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,5.01418,5.011208,5.0056257,5.0103383,0.0035461204
5.0,5.35586,5.280898,5.0798807,5.2388797,0.11651991
6.5850267,6.7114577,6.5851774,6.0021214,6.4329185,0.30895144
5.3467875,4.999909,5.0800047,5.005668,5.0285277,0.036475897
5.0,4.996406,5.0491586,5.066822,5.037462,0.02991327
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.00849,5.0056257,5.004675,0.003567176
5.0,5.000883,5.0125003,5.0096655,5.0076833,0.004945541
5.0,5.173605,5.0488176,5.802966,5.3417964,0.33005172
7.7695513,7.265025,7.696501,7.379043,7.446856,0.18255918
5.0,5.0502715,5.3811016,5.1035056,5.178293,0.1450448
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.939216,5.006841,5.0119143,4.9859905,0.033139266
5.0,4.999909,5.006841,5.0084434,5.0050645,0.003703747
5.0,4.999909,5.006841,5.0140605,5.006937,0.005777752
5.0,5.0084996,5.006841,5.023415,5.0129185,0.007452933
6.5086384,5.6386433,5.4163322,5.5243635,5.526446,0.09077004
5.0,5.0089808,5.0491495,5.011359,5.0231633,0.018400764
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,5.7682314,5.006841,5.5845513,5.4532075,0.32441443
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.0130887,5.035269,5.016089,0.014590644
5.958607,6.3830843,6.7743797,6.3891864,6.51555,0.1830371
5.0,4.999909,5.006841,4.9873486,4.998033,0.008067641
5.0,5.1316385,5.0120955,5.12579,5.0898414,0.055026487
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,5.001629,5.0070777,5.0056257,5.0047774,0.002303925
5.0,4.990029,5.0085993,5.00153,5.000053,0.0076529817
5.0,5.0379095,5.012567,5.0714245,5.0406337,0.02410554
5.0,4.999909,5.0316005,5.0374975,5.023002,0.016506
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.00378,5.0056257,5.0031047,0.0023821858
5.0,5.0028195,4.9967527,5.0056257,5.001733,0.003703011
5.0,5.0261865,5.0140066,4.9908867,5.0103602,0.014639953
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.002387,4.9849668,4.9957542,0.007694703
5.0,5.0279117,5.0108776,5.0056257,5.0148053,0.00951259
5.823909,6.048905,5.1217866,5.2677083,5.479467,0.40703666
5.0,5.001034,5.006841,5.024569,5.0108147,0.010010609
5.0,5.057272,5.006841,5.0056257,5.0232463,0.024064898
5.0,4.999909,5.0102167,5.0056257,5.0052505,0.0042164954
5.0,5.143301,5.046408,5.006475,5.065395,0.057449736
6.031517,6.26392,6.0106277,6.499223,6.2579236,0.19951335
5.0,4.990942,5.3593693,5.216801,5.1890373,0.1516856
5.853872,6.080162,6.1215906,6.25338,6.1517105,0.073853545
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,5.0024953,5.0021644,5.013362,5.006007,0.0052023386
5.0,4.9691105,5.0211945,4.993738,4.994681,0.02127364
5.0,4.999909,5.082288,5.006329,5.0295086,0.037412453
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
6.552842,5.2337947,5.043809,5.0267897,5.1014643,0.09382924
5.0,4.999909,5.006841,5.011119,5.005956,0.004619022
5.0,4.999909,4.999733,4.999077,4.9995728,0.0003580537
5.0,4.999909,5.0445457,5.049952,5.031469,0.022425132
5.0,4.999909,5.050517,5.002442,5.0176225,0.023282865
5.0,5.0235453,5.0028996,5.0078726,5.0114393,0.008797756
5.0,4.999909,5.006841,5.00928,5.0053434,0.00396969
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.1366773,5.012779,5.045584,5.1128225,5.0570617,0.041641086
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,5.0702763,5.0027757,5.0334387,5.0354967,0.027595405
6.6197886,6.265881,6.6357346,6.606459,6.5026913,0.1678763
6.823909,5.218914,5.794464,5.242089,5.418489,0.26602286
5.0,5.222563,5.177376,5.802604,5.400848,0.28468314
5.0,5.0028644,4.9861,5.012093,5.0003524,0.010759159
7.6382723,7.749279,7.662549,8.153005,7.854944,0.21371403
7.79588,6.354812,6.5880556,7.093829,6.6788993,0.3084649
5.0,4.999909,5.006841,5.0068665,5.004539,0.003273871
6.1487417,5.067772,4.9688735,5.061488,5.0327115,0.0452129
5.0,5.035767,5.0138483,5.019039,5.022885,0.009352367
5.0,5.713859,5.07949,5.0114474,5.2682652,0.31630433
7.7447276,7.7298775,7.818411,6.4574976,7.3352623,0.6217246
5.0,5.0725713,5.0322003,5.03439,5.046387,0.018536508
5.0,5.01647,5.0117517,5.0056257,5.0112824,0.0044395532
5.0,4.987241,5.0088882,5.0056257,5.000585,0.009529266
5.7212462,5.4092517,5.439707,5.6391535,5.496038,0.10195932
6.6777806,6.4627123,6.053307,5.7424846,6.0861683,0.29494843
5.0,4.999909,5.006841,5.006657,5.004469,0.0032253903
5.0,4.999909,5.071757,5.0066123,5.0260925,0.032405194
6.0,5.7791567,6.740015,5.5717516,6.030308,0.5089319
5.0,5.0193,4.991945,5.042959,5.018068,0.020844763
5.958607,5.3585434,5.764373,5.3841662,5.502361,0.18556553
5.0,5.0208797,5.032957,5.033729,5.0291886,0.005883718
5.0,5.049637,4.990503,4.9925256,5.0108886,0.027411714
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,5.951049,5.342805,5.039837,5.4445634,0.3788957
5.958607,5.7763433,5.612536,5.612935,5.667272,0.077125646
5.0,4.9952946,5.006841,5.007845,5.003327,0.0056944718
6.6575775,5.17541,5.520457,5.7529364,5.4829345,0.23726243
5.0,5.022239,5.006841,5.0056257,5.0115685,0.007561484
5.7695513,5.061832,5.3260674,5.1182985,5.1687326,0.11361573
5.0,5.00421,5.006841,5.0119696,5.0076737,0.0032220492
5.0604806,5.1794386,5.0086737,5.080723,5.0896115,0.06999726
7.275724,5.4814463,5.1408443,5.030638,5.2176433,0.19188625
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,4.995432,5.0042024,4.9998474,0.0035807893
5.2441254,5.2814016,5.5085235,5.47045,5.4201245,0.09931609
6.30103,5.382447,5.0783887,5.541793,5.3342094,0.1922342
6.2596374,5.9728107,5.9792686,6.156107,6.0360622,0.08492547
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,5.0063977,5.1158557,5.0056257,5.0426264,0.051781904
6.5086384,5.997006,5.8445334,6.289932,6.0438237,0.18482216
5.8860564,5.0193534,5.084118,5.015112,5.039528,0.031577513
6.468521,8.477183,7.604288,7.9396133,8.007028,0.3595322
5.0,5.1641603,5.101281,5.1944427,5.153295,0.03880133
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
5.0,4.999909,5.006841,5.0056257,5.004125,0.0030224228
6.49485,6.7939553,7.747218,5.927691,6.8229547,0.74310184
5.0,5.006425,5.003442,5.00421,5.004692,0.0012646815
