exp,model1,model2,model3,mean,std
5.0,5.7757826,4.9911575,5.1393995,5.302113,0.34035856
5.0,5.0056157,4.996244,4.9991293,5.0003295,0.0039190226
5.0,5.0092993,5.047746,5.040968,5.032671,0.016756468
5.0,5.005346,5.002017,4.9991293,5.002164,0.0025400145
5.0,5.078531,5.033904,4.997272,5.036569,0.03322723
6.455932,6.628705,6.3120565,6.1096787,6.350147,0.21359654
8.0,8.313084,7.819814,8.081058,8.071319,0.20149413
6.167491,5.7222295,5.857113,5.3648996,5.6480803,0.20767282
5.0,5.005284,5.044981,4.9991293,5.0164647,0.020320004
5.0,5.056525,5.0989513,5.04487,5.066782,0.02323939
5.0,5.0232515,5.030482,5.008839,5.0208573,0.008996297
5.0,5.660358,5.06021,5.0305643,5.250377,0.2901525
5.0,5.046154,5.05578,5.00218,5.0347047,0.023331681
5.0,5.00544,5.0091844,4.9991293,5.004585,0.0041493075
5.0,5.005346,4.992465,4.9991293,4.99898,0.005259624
7.39794,5.683472,6.331138,5.695973,5.9035277,0.30240926
5.0,4.967426,5.1653214,4.9485145,5.0270877,0.09805073
5.0,5.005346,5.017394,4.9991293,5.0072894,0.007582196
9.30103,7.312504,8.189951,8.330254,7.9442363,0.45035946
5.823909,5.142336,4.9735417,4.989019,5.0349655,0.076184794
5.0,5.017834,5.117234,5.0032,5.0460896,0.05066044
5.0,5.075158,5.276365,5.054884,5.135469,0.09997163
5.0,5.050609,5.0678005,5.1745563,5.097656,0.05482824
5.0,5.00519,5.0231752,5.002834,5.0103993,0.009084761
5.0,4.998421,5.108313,4.998741,5.0351586,0.051728286
5.0,5.243007,5.0972137,5.722009,5.354077,0.26688907
5.0,5.007878,4.9982786,4.9991293,5.001762,0.0043385257
5.0,5.005346,5.0202937,4.9991293,5.0082564,0.0088820495
5.0,5.005346,4.997908,4.9991293,5.0007944,0.0032567189
5.0,5.005346,4.995736,4.9991293,5.00007,0.0039791837
5.0,5.016313,4.9928536,5.0053816,5.0048494,0.009584663
5.0,5.035192,4.997406,5.003823,5.0121403,0.016509207
5.0,5.005346,5.03799,4.9991293,5.014155,0.017043915
5.0,5.001028,5.8952627,5.0343256,5.3102055,0.41392124
6.481486,5.028242,5.034902,5.2024875,5.0885444,0.08061613
5.0,5.005346,5.004922,4.9991293,5.0031323,0.0028358677
7.823909,6.8962393,7.690423,7.1158094,7.2341576,0.33484983
5.0,5.525822,5.3663797,5.631875,5.508026,0.10911607
7.29243,6.344391,6.363386,6.1527195,6.2868323,0.095148526
5.0,5.005346,5.0099277,4.9991293,5.0048013,0.004425254
5.0,5.096354,5.004661,5.032738,5.0445843,0.038359247
5.0,5.005346,5.011708,4.9991293,5.0053945,0.0051352605
5.853872,5.028505,5.261304,5.2589226,5.1829104,0.10918557
5.0,5.005346,5.007046,4.9991293,5.0038404,0.0034028469
5.0,5.005346,4.998697,4.9991293,5.001057,0.0030375733
5.3565474,5.7662,5.7344646,5.542514,5.6810594,0.098819576
6.017729,7.1230927,7.166521,6.0947733,6.794796,0.495308
8.387217,8.517329,7.8241453,8.338262,8.226579,0.29380354
5.3467875,5.559901,6.7442074,6.9270597,6.4103894,0.6060013
5.251812,5.174776,5.7827206,5.0642877,5.340595,0.31586742
5.7447276,5.5234013,5.347081,5.1267476,5.3324103,0.16226514
6.004365,5.2316184,5.535897,5.006813,5.2581096,0.21680826
6.60206,5.484164,5.3699236,5.325455,5.393181,0.0668472
5.0,5.005346,5.0306845,4.9991293,5.0117197,0.013648042
6.221849,6.377826,6.2012315,6.407404,6.3288207,0.09102358
5.0,5.071976,5.0058722,5.1024146,5.0600877,0.040299788
5.0,5.003622,4.987751,4.9930925,4.994822,0.006593708
6.0132284,6.1243653,6.036586,6.8628197,6.341257,0.37053752
5.6197886,5.411161,5.3357735,5.817606,5.5215135,0.21161899
5.79588,5.2739234,5.386805,5.080466,5.2470646,0.12649632
5.0,5.005346,4.962004,4.9991293,4.9888263,0.019135239
7.5686364,7.6998796,6.7991056,7.117798,7.2055945,0.3729429
5.0,5.005346,5.017953,4.983329,5.002209,0.014308178
5.0,5.005346,5.015782,4.9991293,5.0067525,0.0068707517
5.0,5.0315804,5.0045676,4.993626,5.0099244,0.015951106
7.221849,5.5344834,6.149437,5.835761,5.8398933,0.25107074
5.0,5.005346,4.9750266,5.0015,4.9939575,0.01347793
5.0,5.239269,5.4503727,5.620534,5.4367256,0.15594971
5.0,5.0265365,5.0021176,4.9991293,5.009261,0.012276275
6.4202166,6.2582254,6.497047,6.385233,6.3801684,0.09756421
5.0,4.995115,5.1373224,4.988874,5.040437,0.06855565
5.920819,6.190324,5.7228994,5.3722453,5.761823,0.33511132
6.4436975,5.8938427,5.9778566,6.560894,6.144198,0.29663828
5.0,5.378538,5.012144,4.958584,5.116422,0.18662943
5.0,5.007157,5.0043755,5.013223,5.0082517,0.003694116
5.0,5.005346,5.0045276,4.9991293,5.0030007,0.0027579397
6.4202166,5.0054655,5.402031,5.0062222,5.1379066,0.18676464
5.0,5.032272,5.0082583,5.0366573,5.025729,0.012482807
5.0,5.030165,4.996469,4.9991293,5.008588,0.015296101
5.0,5.005346,5.014829,4.9991293,5.006435,0.006455528
5.0,5.0303164,5.031911,4.9909606,5.0177293,0.018939508
5.0,5.0060663,5.047857,4.9991293,5.017684,0.021522436
5.0,5.005346,5.0483203,4.9999332,5.0178666,0.02164719
5.0,5.005346,5.010921,4.9991293,5.005132,0.004816317
5.0,4.9848943,5.006145,5.1191063,5.036715,0.05890172
8.769551,7.7178526,7.550931,7.590119,7.619634,0.071269765
5.7212462,5.671242,5.739884,5.4387603,5.6166286,0.12885606
5.0,5.145168,5.450464,5.035871,5.2105007,0.17544816
5.0,5.0417256,5.128617,5.048369,5.072904,0.0394883
5.0,5.005346,4.990955,4.9991293,4.9984765,0.0058931755
5.0,5.0133634,5.1036935,5.0019836,5.03968,0.04550204
5.0,5.005346,5.001879,4.9991293,5.002118,0.0025435018
5.0,5.103096,5.6103907,5.04427,5.252586,0.25414363
5.0,5.005346,5.005059,4.9991293,5.003178,0.0028652363
5.0,5.0280123,4.9827,5.0002055,5.003639,0.018657371
5.8860564,6.0686607,6.591596,6.3106713,6.3236427,0.21368442
