exp,model1,model2,model3,mean,std
5.0,5.0384707,5.008832,5.701549,5.249617,0.31979305
5.0,5.0194464,5.007029,4.999064,5.008513,0.008386992
5.0,5.061444,5.063445,5.0196476,5.048179,0.020191167
5.0,5.018489,5.0063167,5.0202613,5.0150223,0.006198181
5.0,5.034575,5.0644,5.080626,5.0598674,0.019071553
6.455932,6.4837866,5.5366898,6.119848,6.0467744,0.39008787
8.0,7.8386536,7.9457674,7.331669,7.705363,0.26783574
6.167491,5.3608785,5.8823376,5.5054917,5.5829024,0.21980935
5.0,5.0383596,4.9704294,5.02986,5.0128827,0.030219115
5.0,5.329106,5.1198254,5.1495557,5.1994953,0.09244847
5.0,5.0180874,5.002997,4.996067,5.005717,0.009193239
5.0,5.3507485,5.638359,5.1275477,5.3722186,0.20908974
5.0,5.092837,5.062233,5.006831,5.053967,0.035594843
5.0,4.99931,4.994971,5.0059457,5.000076,0.0045130546
5.0,5.0255404,5.0210943,5.01961,5.0220814,0.0025197119
7.39794,5.3204484,6.1271143,6.0881796,5.8452477,0.3714292
5.0,5.1973295,5.018134,4.966056,5.0605063,0.09905702
5.0,4.99272,5.012484,5.017518,5.007574,0.010702497
9.30103,7.5187798,8.417466,8.863199,8.266482,0.5591441
5.823909,5.305632,5.4652348,5.44889,5.4065857,0.07169614
5.0,5.136948,5.0234947,4.997689,5.05271,0.06048947
5.0,5.0179596,5.2106833,5.1311207,5.119921,0.07907668
5.0,5.2125506,5.022206,5.4289117,5.2212224,0.16615017
5.0,5.034345,5.0279794,5.0339227,5.032082,0.0029063988
5.0,5.069063,5.0437574,5.0396805,5.0508337,0.012997204
5.0,5.274001,5.258064,5.2325034,5.254856,0.01709253
5.0,5.015523,5.014597,5.006158,5.0120926,0.0042134714
5.0,4.992838,5.0053396,5.01183,5.003336,0.007881836
5.0,5.040339,5.0220094,5.007283,5.0232105,0.013521668
5.0,5.017577,5.0053396,5.0157576,5.0128913,0.005391372
5.0,5.03784,5.0279956,5.023998,5.029945,0.0058166105
5.0,5.073888,5.016274,4.991769,5.0273104,0.034421224
5.0,5.042194,5.023741,5.0004973,5.0221443,0.017059948
5.0,5.0697637,5.569677,5.0394597,5.2263,0.24311905
6.481486,5.14011,5.0224285,5.086063,5.082867,0.04809639
5.0,5.018163,5.0075583,5.007621,5.011114,0.00498452
7.823909,6.388834,7.51134,6.5435205,6.814565,0.49672514
5.0,5.281861,5.250026,5.582524,5.37147,0.14980221
7.29243,5.9713635,5.9799385,5.950766,5.9673557,0.012242074
5.0,5.0406914,4.98634,5.0209227,5.0159845,0.022461886
5.0,5.0152516,5.024572,5.0333343,5.024386,0.0073833694
5.0,5.0129266,5.012647,5.018934,5.014836,0.0028999245
5.853872,5.229395,5.1697264,5.435655,5.278259,0.113930635
5.0,5.010767,5.011681,5.036136,5.019528,0.011749614
5.0,5.0081534,4.999055,4.9969206,5.001376,0.004870724
5.3565474,5.6454167,5.5941305,6.083855,5.7744675,0.21976976
6.017729,7.3544607,5.31231,5.6368933,6.1012216,0.89602643
8.387217,8.508576,8.465602,8.431723,8.468634,0.031448565
5.3467875,5.9290695,5.755193,6.8481927,6.177485,0.47954473
5.251812,5.1332192,5.5675716,5.0527706,5.251187,0.22611554
5.7447276,5.1696825,5.305949,5.492909,5.322847,0.1324965
6.004365,5.1407404,5.1332912,5.0378294,5.103954,0.04685572
6.60206,5.1530585,5.195844,6.83378,5.7275605,0.7824099
5.0,4.9999185,5.0197406,5.0214486,5.0137024,0.009771735
6.221849,6.5285196,6.0039167,6.550029,6.360822,0.25252265
5.0,5.2419043,5.0843563,5.0692496,5.1318364,0.078073464
5.0,5.0323124,5.028539,5.0068874,5.0225797,0.011202498
6.0132284,6.3150444,6.0203357,6.565378,6.300253,0.22275835
5.6197886,5.4064403,5.399762,5.128196,5.3114657,0.12962034
5.79588,5.113463,5.395482,4.992535,5.16716,0.16882752
5.0,5.046624,5.0491033,5.066674,5.054134,0.008924929
7.5686364,7.5772157,7.47571,6.809658,7.2875276,0.34043652
5.0,5.011474,5.174386,5.0089808,5.0649467,0.077391796
5.0,5.040275,5.062066,5.0204396,5.0409265,0.017000178
5.0,5.029329,5.002126,4.95566,4.995705,0.030416038
7.221849,5.081854,5.4359956,5.127487,5.215112,0.15729526
5.0,5.0986967,5.0404234,5.041564,5.060228,0.027205449
5.0,5.240209,5.6105757,5.650802,5.500529,0.18480507
5.0,5.0132475,5.0133767,5.02263,5.0164185,0.0043929177
6.4202166,6.7552605,6.4275026,6.5108223,6.564528,0.13909125
5.0,5.3119206,5.0500474,5.0285187,5.1301622,0.12882277
5.920819,5.6462865,5.942908,5.7635584,5.7842507,0.12197592
6.4436975,5.4744134,6.2688713,6.3144417,6.019242,0.38570103
5.0,5.217213,5.0770907,5.021988,5.1054306,0.08218104
5.0,5.0136595,5.0080867,5.026132,5.0159593,0.0075443867
5.0,5.0076814,5.0075154,5.0228806,5.0126925,0.007204395
6.4202166,5.3479853,5.2538514,5.2598906,5.2872424,0.043022387
5.0,5.015781,4.975595,4.9867992,4.992725,0.016932487
5.0,5.0233426,5.005767,5.0245724,5.0178943,0.008589826
5.0,4.9905486,5.013767,5.0095534,5.004623,0.010099605
5.0,4.9697556,5.0201464,5.1586165,5.0495067,0.07984822
5.0,4.9966063,5.0333276,5.020962,5.0169654,0.015255453
5.0,5.4689555,4.9491,4.9648395,5.1276317,0.24143793
5.0,5.0334363,5.020889,5.0146713,5.022999,0.0078047053
5.0,5.0327754,5.042888,5.0949755,5.0568795,0.02725233
8.769551,7.408513,7.7237215,8.874098,8.0021105,0.62987304
5.7212462,6.059445,5.478292,5.5130835,5.6836066,0.26613697
5.0,5.193706,5.139641,6.6364036,5.656584,0.6931889
5.0,5.0362163,5.0921497,5.273451,5.1339393,0.101258144
5.0,4.9921303,4.9957542,5.0070386,4.9983077,0.006348469
5.0,5.207945,5.009553,4.997587,5.071695,0.096466966
5.0,5.021605,5.0450873,5.0627627,5.043152,0.016858224
5.0,5.386028,6.0094833,5.0881896,5.4945674,0.38386723
5.0,5.011692,5.0061517,5.009149,5.0089974,0.0022643816
5.0,5.1959376,5.3514886,5.0302954,5.192574,0.13114816
5.8860564,6.290164,6.3137045,6.5240326,6.375967,0.10513832
5.0,5.0559416,5.489406,5.086893,5.210747,0.19744654
7.091515,5.2076426,5.797899,6.419308,5.808283,0.49471492
6.318759,5.3358684,5.608096,5.6592793,5.5344143,0.14193986
6.0409584,6.203307,6.1601963,5.85764,6.0737147,0.15379818
6.4436975,5.147817,5.911159,5.479729,5.512902,0.31251454
5.0,5.6348786,5.998491,5.032066,5.5551453,0.39854935
