exp,model1,model2,model3,mean,std
5.0,4.969899,5.0126286,5.5961323,5.192887,0.28567082
5.0,5.0426364,5.022331,5.018258,5.027742,0.010662454
5.0,5.06776,5.0519543,7.5067806,5.8754983,1.1535088
5.0,5.0214972,5.0208583,5.016091,5.019482,0.0024121334
5.0,4.9875703,5.109803,5.5721836,5.223186,0.25177354
6.455932,5.2139144,5.018709,5.0046883,5.079104,0.09549708
8.0,5.0541673,4.987679,6.41525,5.4856987,0.6578521
6.167491,4.970423,5.021758,5.7874646,5.259882,0.37364545
5.0,5.0641737,5.0518513,4.903516,5.0065136,0.07300396
5.0,5.105375,5.0098567,5.008898,5.0413766,0.04525538
5.0,5.021436,5.0331473,5.6085453,5.221043,0.27404723
5.0,5.06469,5.1138754,6.450182,5.542916,0.6418482
5.0,5.079406,5.0183344,5.096166,5.0646358,0.033447146
5.0,4.9844756,5.010818,5.8777056,5.291,0.41500303
5.0,4.9770904,5.0174284,5.573492,5.189337,0.2721374
7.39794,5.1385875,5.483865,5.615496,5.412649,0.20110393
5.0,5.1889763,5.382526,4.870502,5.147335,0.21109657
5.0,5.0125084,5.0202913,5.9725704,5.3351235,0.4507543
9.30103,5.2999916,5.614364,5.0640755,5.3261437,0.22541422
5.823909,5.0695643,5.0126886,6.783771,5.622008,0.8218186
5.0,5.2468,5.022925,5.6229205,5.2975483,0.24756177
5.0,4.949998,5.0196524,5.0083404,4.992664,0.030520573
5.0,4.936573,5.0710654,5.0284534,5.012031,0.056120887
5.0,7.4404917,7.4760137,5.466615,6.794374,0.9389789
5.0,5.0387235,5.024924,5.147787,5.070478,0.05495523
5.0,5.1344857,5.0073633,5.131525,5.091125,0.05924057
5.0,4.993877,5.0176997,5.001065,5.004214,0.00997726
5.0,4.9923167,5.0156503,5.579872,5.195946,0.27164358
5.0,4.980881,5.0189004,4.9791427,4.9929748,0.018345928
5.0,5.0635786,5.0210767,5.0083404,5.0309987,0.023617065
5.0,4.9465737,5.0178623,5.194633,5.053023,0.10427706
5.0,5.095964,5.092705,6.5305786,5.5730824,0.67705333
5.0,5.0692124,5.1097264,4.9843845,5.054441,0.052225735
5.0,5.1229267,5.0352387,4.8847065,5.0142903,0.09837457
6.481486,5.2613196,5.024456,5.5652957,5.283691,0.22136278
5.0,5.117753,5.0347157,5.230947,5.127805,0.080425836
7.823909,5.77198,5.0229673,5.578882,5.457943,0.317516
5.0,5.246936,5.019645,5.275438,5.180673,0.11445682
7.29243,5.0889316,5.0538425,5.7874646,5.3100796,0.337866
5.0,5.2099147,5.017311,5.801608,5.342945,0.3337196
5.0,5.4090204,5.045697,5.560354,5.3383574,0.21596746
5.0,4.988625,5.0047665,5.7255316,5.2396407,0.3436397
5.853872,5.115475,5.0258045,5.715497,5.285592,0.30618492
5.0,5.5890665,5.0203967,5.7137246,5.4410625,0.3017778
5.0,4.999969,5.0175204,5.367023,5.1281705,0.16904593
5.3565474,5.201713,5.179866,5.7874646,5.389681,0.28141674
6.017729,5.043234,5.005806,5.7660904,5.27171,0.34991345
8.387217,5.0854506,6.070728,8.617937,6.591372,1.4883811
5.3467875,5.04887,4.9822917,5.1641383,5.0651,0.075120375
5.251812,5.017568,5.01784,5.002796,5.012735,0.0070284978
5.7447276,5.0798984,6.5541935,5.30998,5.648024,0.64760685
6.004365,5.14262,5.0126777,5.091364,5.0822206,0.053441297
6.60206,5.006773,5.017567,5.5204606,5.1816,0.23965098
5.0,5.0045047,5.001604,5.6612463,5.2224517,0.3102769
6.221849,5.0009413,5.470445,5.7874646,5.4196167,0.32310203
5.0,5.097036,5.0185122,4.9982896,5.037946,0.042590752
5.0,5.0450487,4.9250145,5.237124,5.0690627,0.1285446
6.0132284,5.1294274,6.737053,5.3512917,5.7392573,0.71133816
5.6197886,5.0132422,5.0265603,6.7508507,5.5968843,0.81599545
5.79588,5.035108,5.022299,6.909574,5.6556606,0.8866663
5.0,5.003708,5.0105906,5.8158545,5.2767177,0.38123772
7.5686364,5.618809,7.1462526,5.7587357,6.174599,0.6894334
5.0,5.0565977,5.026766,4.940175,5.0078464,0.04937626
5.0,5.027009,5.0157003,5.0082145,5.016975,0.0077255624
5.0,4.935325,5.102912,6.8423405,5.626859,0.8621938
7.221849,5.83112,6.238738,5.445346,5.838402,0.32394192
5.0,5.1523094,5.021363,5.7614665,5.3117127,0.32248566
5.0,5.0772285,5.191095,5.6826596,5.316994,0.26270986
5.0,4.9952455,5.0227036,5.8846235,5.3008575,0.41293707
6.4202166,7.4448977,7.2765303,4.957979,6.5598025,1.1347437
5.0,5.078958,5.0156612,5.5825634,5.2257276,0.2536408
5.920819,5.179925,6.680539,6.212185,6.024216,0.62687576
6.4436975,4.990125,5.1646876,5.728257,5.294357,0.31498176
5.0,6.533374,5.035157,5.7874646,5.7853317,0.61164623
5.0,5.0783873,5.002912,5.022665,5.0346546,0.03195771
5.0,5.202386,5.03459,5.7874646,5.3414803,0.32271302
6.4202166,5.040665,5.023771,6.000913,5.3551164,0.45669934
5.0,5.071048,5.146209,5.9396462,5.385634,0.3929455
5.0,5.197136,5.0820913,5.012507,5.0972447,0.07613227
5.0,5.0775476,5.0166225,5.8853316,5.3265004,0.39593527
5.0,5.088015,5.030054,5.475151,5.19774,0.19758123
5.0,4.958042,5.0131326,5.0038195,4.9916644,0.02407685
5.0,5.00622,4.9947243,5.2974453,5.099463,0.14007317
5.0,4.966085,5.0192876,5.2502522,5.0785413,0.12334515
5.0,4.9628406,5.0589495,4.9943833,5.0053906,0.04000091
8.769551,5.130195,5.0117908,5.762662,5.3015494,0.32961956
5.7212462,4.9867516,5.019165,5.0049586,5.0036254,0.0132663045
5.0,4.9809637,5.0030136,5.2454534,5.076477,0.11982302
5.0,5.1136146,5.1679335,5.7610865,5.347544,0.29325774
5.0,5.21052,5.01876,5.7874646,5.338915,0.3266911
5.0,5.008474,5.014074,5.0663757,5.029641,0.026075685
5.0,5.056872,5.0355816,5.7874646,5.293306,0.34953097
5.0,5.172086,4.9833474,5.0896854,5.0817065,0.07725841
5.0,5.1043167,5.016375,5.1700892,5.096927,0.06297073
5.0,5.2401876,5.0206685,6.443227,5.5680275,0.62531453
5.8860564,5.063627,5.0143127,5.0050297,5.0276566,0.025715683
5.0,5.151331,5.057085,5.4694,5.225939,0.17640035
7.091515,4.99065,5.688016,6.3625154,5.6803937,0.56008756
6.318759,5.4909134,5.0183535,5.500714,5.3366604,0.22511244
6.0409584,4.9850373,5.080556,5.0537887,5.0397944,0.04023132
6.4436975,5.057016,5.0162706,6.3297544,5.46768,0.60980535
5.0,5.508052,5.117056,5.79336,5.4728227,0.2772216
5.0,4.98761,5.031744,5.220918,5.080091,0.10119698
5.0,4.9992733,5.037384,4.9899225,5.00886,0.02052765
5.0,5.0260735,5.027461,5.822538,5.292024,0.3751303
5.0,5.0346923,5.0079455,5.7261925,5.2562766,0.33245996
5.0,5.106945,5.0202446,5.098752,5.075314,0.039083254
5.0,5.2916093,5.024193,7.1253724,5.8137245,0.9338781
5.2596374,5.2565694,5.0367575,5.7874646,5.360264,0.315124
5.0,5.0657907,5.063673,5.0045304,5.0446644,0.02839238
7.5228786,5.154431,5.8926673,5.7874646,5.611521,0.32605255
5.0,5.2944536,6.4887395,5.314368,5.699187,0.5583571
7.2676063,7.4770746,7.2738595,5.1657777,6.638904,1.0449561
5.0,5.1392756,5.0433655,5.1586795,5.1137733,0.050412275
5.69897,5.0499334,5.051747,5.5208063,5.2074957,0.22154541
5.0,5.414242,5.0461073,5.0579033,5.172751,0.1708278
5.0,5.0250196,5.0049453,5.7113724,5.2471123,0.32838362
9.275724,5.4168415,5.0915074,5.7309465,5.413099,0.26106334
5.0,6.6295905,5.2366557,5.776476,5.8809075,0.57343775
5.0,5.077804,5.023412,5.5213423,5.2075195,0.22301443
5.0,4.9817915,5.0155053,5.3636127,5.1203036,0.17259547
5.0,5.0018764,5.008547,5.624161,5.2115283,0.29178816
5.0,4.968004,5.0105753,5.6895022,5.222694,0.33054054
5.0,5.0614557,5.0194254,5.6351833,5.238688,0.28088903
5.0,5.0689025,5.0232196,5.8140593,5.3020606,0.3625179
6.070581,5.0521016,5.018207,5.001499,5.023936,0.021051787
5.7447276,5.0229897,5.0136347,5.209552,5.082059,0.090232074
5.0,5.032423,5.0165844,4.9442806,4.9977627,0.038366333
5.0,5.0106816,5.016555,5.029872,5.0190363,0.0080284765
5.0,4.983992,5.103954,5.7785277,5.2888246,0.34971857
5.251812,5.0561395,5.0293465,5.0927577,5.0594144,0.025990907
5.0,5.214493,5.015995,5.078458,5.102982,0.082871035
5.0,5.7580976,5.027595,6.120837,5.6355095,0.454654
5.0,5.108434,5.0077763,5.00548,5.0405636,0.04800104
5.0,5.4806952,5.0126166,5.171948,5.2217536,0.19431046
6.5850267,5.185143,5.0895667,5.788678,5.354463,0.30950612
5.3467875,5.0281186,5.0218935,5.058592,5.0362015,0.016035164
5.0,5.0499835,5.048773,5.7874646,5.295407,0.34793764
5.0,5.104447,5.01735,5.3554077,5.1590686,0.14331397
5.0,5.5929623,5.02294,5.0094895,5.2084637,0.27193677
5.0,5.043817,5.0087457,5.9946737,5.349079,0.45672902
5.0,5.1951194,5.0191765,6.2543926,5.489563,0.5455654
7.7695513,5.1862206,5.0247808,5.7874646,5.3328223,0.32816726
5.0,5.029627,5.009007,5.0059667,5.0148664,0.010510454
5.0,4.998529,5.0534,5.0050297,5.018986,0.024478532
5.0,4.9450407,5.0892844,5.7683024,5.2675424,0.35895398
5.0,5.002874,5.009951,5.3159537,5.109593,0.14594774
5.0,5.006957,5.0060444,6.188319,5.40044,0.5571147
5.0,5.2644734,5.0239654,5.0421953,5.1102114,0.10933335
6.5086384,5.0888157,5.007117,5.891179,5.329037,0.3988912
5.0,5.1298146,5.0565143,5.7483406,5.3115563,0.3102993
5.0,5.0190196,5.1372266,4.991672,5.0493064,0.06316372
5.0,5.074814,5.01957,5.601875,5.232086,0.2624509
5.0,5.0794644,5.0158296,4.9778934,5.0243955,0.041906293
5.0,5.6229258,5.475006,5.859914,5.652615,0.1585341
5.958607,5.086094,5.0216656,6.7034807,5.603747,0.7780741
5.0,5.0563097,5.9197626,7.4755745,6.150549,1.0010519
5.0,4.986448,5.0439086,5.230566,5.086974,0.10420943
5.0,4.9899464,5.0130615,5.284403,5.0958037,0.13369328
5.0,5.006833,5.0134306,5.0083404,5.009535,0.0028227186
5.0,5.0260825,5.0148997,5.0730953,5.038026,0.025214601
5.0,5.147661,5.05914,5.26173,5.156177,0.082925946
5.0,5.056518,5.0197635,4.990979,5.0224204,0.026822008
5.0,5.4212813,5.022225,5.3502,5.264569,0.17380269
5.0,4.977698,5.016176,5.7559557,5.2499433,0.3581495
5.0,5.2099714,5.029009,5.859787,5.3662553,0.3567134
5.0,4.9955554,5.0113163,5.3778033,5.1282253,0.17659578
5.0,5.1807327,5.0170755,5.6736917,5.2905,0.2790733
5.0,5.215525,5.0253563,6.167625,5.469502,0.49971503
5.0,5.0233216,5.011007,5.687993,5.2407737,0.3162717
5.823909,5.062425,5.008622,5.0083404,5.0264626,0.025429646
5.0,5.137642,5.015464,5.008994,5.0540333,0.059179198
5.0,5.087051,5.019939,5.889534,5.332175,0.3950638
5.0,5.0505104,5.004052,5.250764,5.1017756,0.10704439
5.0,5.384703,5.1532793,5.7874646,5.441816,0.2620358
6.031517,5.018593,4.9991083,6.4638605,5.493854,0.6859444
5.0,5.046974,5.0190663,5.569133,5.2117243,0.2529826
5.853872,5.094637,5.017876,5.0890465,5.0671864,0.03494231
5.0,5.0114956,5.0216727,5.0067525,5.013307,0.006224365
5.0,7.524864,7.3318453,5.423421,6.7600436,0.94841415
5.0,5.2500525,6.5787263,5.51431,5.78103,0.57428104
5.0,4.9523864,5.0166755,5.0083404,4.9924674,0.02854511
5.0,5.3143325,5.0253,4.99374,5.111124,0.14426646
5.0,5.142641,5.023861,5.0598683,5.0754566,0.049728796
6.552842,5.6197515,5.6900225,5.7874646,5.6990795,0.06876748
5.0,5.0414386,5.0237417,5.7874646,5.2842145,0.35592458
5.0,4.944838,5.009439,4.9643006,4.972859,0.027058672
5.0,5.050165,5.054538,5.6931443,5.2659492,0.30207792
5.0,5.387803,7.136153,5.7874646,6.103807,0.7479913
5.0,5.2084737,4.9869676,5.778852,5.3247643,0.33357945
5.0,5.078328,5.017381,5.576962,5.2242236,0.25066155
5.0,5.0406733,5.007268,6.092197,5.3800464,0.50375134
5.0,5.0032964,5.015152,5.51694,5.1784625,0.23938853
5.1366773,5.017861,5.021765,5.003002,5.0142093,0.008083441
5.0,4.997088,5.00619,5.590273,5.19785,0.2775096
5.0,4.984932,5.012425,5.0857797,5.027712,0.042566344
6.6197886,7.9360075,7.5640173,5.46502,6.9883485,1.0878085
6.823909,5.105015,5.015842,5.0027566,5.0412045,0.04543587
5.0,4.983471,5.025124,4.938647,4.982414,0.035312112
5.0,5.020994,5.004805,5.630383,5.218727,0.29115948
7.6382723,6.112066,6.096996,5.854732,6.0212646,0.117916875
7.79588,5.016832,5.006492,5.7824097,5.268578,0.36335844
5.0,5.0266495,5.074442,5.035044,5.045378,0.020834714
6.1487417,4.9768996,5.01942,5.5215716,5.1726303,0.24734855
5.0,5.020317,5.0121117,5.714848,5.249092,0.3293561
5.0,5.8971133,6.755147,5.265319,5.9725266,0.6105529
7.7447276,5.3910174,5.118897,5.7874646,5.4324594,0.2745102
5.0,5.433086,5.018982,5.6000686,5.3507123,0.24427377
5.0,5.77198,5.0264626,5.095379,5.2979407,0.33637518
5.0,5.449688,5.713171,5.5792985,5.580719,0.1075712
5.7212462,4.998224,5.020687,5.0809383,5.033283,0.034922946
6.6777806,5.029149,5.0203185,5.8692865,5.306251,0.3981423
5.0,5.4538918,5.0138226,5.0283575,5.165357,0.20411095
5.0,5.0447917,5.025525,5.3418427,5.1373863,0.14478615
6.0,5.0420146,5.032928,5.7874646,5.2874694,0.3535697
5.0,5.055655,5.0393887,5.6698623,5.2549686,0.29344925
5.958607,4.9923096,5.027619,4.9849124,5.0016136,0.018634824
5.0,5.1438794,5.1087365,5.814348,5.3556542,0.32466245
5.0,5.008704,5.066936,5.2736373,5.116426,0.11367884
5.0,4.9711146,5.0066433,5.6833725,5.220377,0.32770854
5.0,5.27087,5.0506277,6.9281464,5.7498817,0.8379968
5.958607,4.958604,5.191501,5.0886765,5.0795937,0.09529658
5.0,5.7908297,6.1886373,5.839327,5.939598,0.17720692
6.6575775,5.184967,4.991952,4.8124275,4.996449,0.15212187
5.0,5.5123854,5.508911,5.899411,5.640236,0.1832701
5.7695513,5.079406,5.020928,5.120515,5.0736165,0.0408618
5.0,5.031953,5.0154676,5.1353173,5.0609126,0.053040784
5.0604806,5.023841,5.054594,5.2144713,5.0976353,0.08356399
7.275724,5.172634,5.0254517,4.9952536,5.0644464,0.07748725
5.0,5.0090084,5.019254,5.0181665,5.0154767,0.004595056
5.0,5.4930005,5.026065,4.9726396,5.163902,0.23372792
5.2441254,5.9113975,5.013232,6.4529347,5.792521,0.59373647
6.30103,5.1897454,6.442647,5.00908,5.5471573,0.6374878
6.2596374,5.5013413,5.062927,5.721242,5.4285035,0.27364668
5.0,5.025803,5.010368,5.7874646,5.274545,0.36274353
5.0,4.958626,5.0065265,5.0083404,4.9911647,0.023020046
5.0,4.9606586,5.010658,6.3468175,5.4393783,0.64198124
6.5086384,5.322392,5.0743537,5.0016513,5.132799,0.13730875
5.8860564,5.026028,5.020945,5.0170665,5.0213466,0.0036695881
6.468521,5.577424,6.8438287,5.7874646,6.0695724,0.5541563
5.0,5.684168,5.270351,5.7874646,5.5806613,0.2234381
5.0,5.0953965,5.0165944,5.8594623,5.3238177,0.38012168
5.0,5.0372095,5.026343,5.0083404,5.0239644,0.0119051915
5.0,5.037598,5.0858984,4.999982,5.0411596,0.035165556
6.49485,5.1854515,5.0726514,5.665736,5.307946,0.25715253
5.0,5.337784,4.9267373,5.6797047,5.3147416,0.30782914
6.275724,4.9385505,5.0128255,5.780263,5.24388,0.38049045
5.0,5.2461033,5.122518,5.5844536,5.317692,0.19526012
6.2596374,5.009053,5.0517244,5.7376437,5.2661405,0.33385795
5.455932,4.9955683,5.0157056,6.027525,5.3462663,0.48179278
5.0,7.426998,7.0139866,5.4091635,6.616716,0.87035704
5.0,5.215878,5.034169,5.6669407,5.3056626,0.2660149
5.0,4.9501333,4.993571,5.323408,5.0890374,0.16667119
5.0,5.0939865,5.013797,5.7874646,5.298416,0.34735575
6.6382723,4.938639,5.8609858,5.017824,5.2724833,0.41738802
5.0,5.15828,5.02108,5.5950227,5.258127,0.24471712
5.6777806,6.3966427,5.0213118,5.7874646,5.73514,0.56269425
5.0,4.9726024,5.039826,5.4150996,5.1425095,0.19469438
5.0,5.292822,4.9435635,4.9843173,5.073568,0.1559264
5.0,5.028302,5.0209665,5.099436,5.049568,0.035388682
5.0,5.146252,5.0070624,5.97434,5.375885,0.42696983
5.0,5.0376534,5.010949,5.0083404,5.0189815,0.013246312
5.0,5.0937786,5.0116806,4.994612,5.033357,0.043288935
7.5086384,5.2699733,4.9988413,5.6729074,5.313907,0.2769343
5.0,5.2894397,5.3714113,5.7874646,5.4827714,0.21803378
5.0,5.008893,5.0737,5.35809,5.1468945,0.1516634
5.0,5.0667367,5.010218,5.013942,5.0302987,0.025810242
5.7447276,5.138926,5.49056,6.011721,5.547069,0.35855058
5.0,4.9668117,5.110277,5.7874646,5.2881846,0.3578697
5.0,4.9831567,5.0093474,5.0083404,5.000282,0.0121160485
5.0,4.9459367,5.0439105,5.0014706,4.997106,0.040116537
7.086186,5.043139,5.0393023,4.9688945,5.0171123,0.03413085
5.5228786,5.212073,5.021076,5.0091977,5.080782,0.09296304
5.920819,4.9770207,5.017647,5.1957784,5.063482,0.09500657
6.4436975,5.0473566,5.0171103,5.0030923,5.0225196,0.018471215
5.0,5.303343,5.9169927,6.5477858,5.9227066,0.5080578
5.0,5.034528,5.0192924,5.196096,5.0833054,0.07999715
5.0,5.011472,5.012056,5.7819905,5.2685065,0.36308834
