exp,model1,model2,model3,mean,std
5.0,5.3603888,4.9911575,5.1393995,5.1636486,0.15171011
5.0,5.0008984,4.996244,4.9991293,4.9987574,0.0019182834
5.0,5.0139995,5.047746,5.040968,5.034238,0.014575795
5.0,5.0008984,5.002017,4.9991293,5.0006814,0.0011888349
5.0,5.0008984,5.033904,4.997272,5.010691,0.01648041
6.455932,5.888335,6.3120565,6.1096787,6.103357,0.17304124
8.0,7.7518883,7.819814,8.081058,7.884253,0.14189763
6.167491,5.6962595,5.857113,5.3648996,5.639424,0.20492467
5.0,5.0008984,5.044981,4.9991293,5.0150027,0.02121003
5.0,4.9961987,5.0989513,5.04487,5.0466733,0.041967984
5.0,5.0008984,5.030482,5.008839,5.0134063,0.012501745
5.0,5.0274487,5.06021,5.0305643,5.0394077,0.014764479
5.0,5.0188675,5.05578,5.00218,5.0256095,0.022395287
5.0,4.9913893,5.0091844,4.9991293,4.9999013,0.007285277
5.0,5.0008984,4.992465,4.9991293,4.9974976,0.0036310914
7.39794,6.001196,6.331138,5.695973,6.0094357,0.25937057
5.0,4.9328237,5.1653214,4.9485145,5.015553,0.106095664
5.0,5.0008984,5.017394,4.9991293,5.0058074,0.008224892
9.30103,7.9018755,8.189951,8.330254,8.140694,0.17831933
5.823909,4.9867983,4.9735417,4.989019,4.98312,0.0068330118
5.0,4.929704,5.117234,5.0032,5.0167127,0.077152774
5.0,5.1422234,5.276365,5.054884,5.157824,0.091089614
5.0,4.969333,5.0678005,5.1745563,5.070564,0.08380474
5.0,5.0008984,5.0231752,5.002834,5.008969,0.010076253
5.0,5.0482893,5.108313,4.998741,5.051781,0.044800647
5.0,5.54279,5.0972137,5.722092,5.4540315,0.26271245
5.0,4.9901443,4.9982786,4.9991293,4.9958506,0.0040500006
5.0,5.0008984,5.0202937,4.9991293,5.006774,0.00958727
5.0,5.0008984,4.997908,4.9991293,4.999312,0.0012275741
5.0,5.0008984,4.995736,4.9991293,4.998588,0.0021419597
5.0,5.0180945,4.9928536,5.0053816,5.005443,0.010304646
5.0,5.0034556,4.997406,5.003823,5.0015616,0.0029421865
5.0,5.0008984,5.03799,4.9991293,5.012673,0.017916745
5.0,5.010912,5.8952627,5.0343256,5.3135,0.41147935
6.481486,4.9975324,5.034902,5.2024875,5.0783076,0.0891241
5.0,5.0008984,5.004922,4.9991293,5.00165,0.0024237938
7.823909,7.3795533,7.690423,7.1158094,7.3952622,0.23484784
5.0,5.487422,5.3663797,5.631875,5.4952254,0.10852837
7.29243,6.596463,6.363386,6.1527195,6.370856,0.1812346
5.0,5.002314,5.0099277,4.9991293,5.0037904,0.004530358
5.0,5.1260705,5.004661,5.032738,5.0544896,0.05189679
5.0,5.0008984,5.011708,4.9991293,5.0039115,0.0055596917
5.853872,4.9885507,5.261304,5.2589226,5.1695924,0.12801953
5.0,5.0008984,5.007046,4.9991293,5.002358,0.0033928608
5.0,5.0008984,4.998697,4.9991293,4.999575,0.0009523945
5.3565474,6.560444,5.7344646,5.542514,5.945807,0.44162178
6.017729,7.0677667,7.166521,6.0947733,6.7763534,0.48363346
8.387217,8.47736,7.824234,8.338262,8.2132845,0.2809005
5.3467875,5.7749085,6.7442074,6.9270597,6.482058,0.505572
5.251812,5.2041645,5.7827206,5.0642877,5.350391,0.310991
5.7447276,5.625608,5.347081,5.1267476,5.3664784,0.20412026
6.004365,5.0639133,5.535897,5.006813,5.2022076,0.23710251
6.60206,6.3053274,5.3699236,5.325455,5.666902,0.45179978
5.0,5.0011234,5.0306845,4.9991293,5.0103126,0.014428216
6.221849,6.4433236,6.2012315,6.407404,6.350653,0.10666975
5.0,5.0235305,5.0058722,5.1024146,5.043939,0.04197214
5.0,5.000328,4.987751,4.9930925,4.993724,0.005153932
6.0132284,5.861735,6.036586,6.8628197,6.2537136,0.43657836
5.6197886,5.15463,5.3357735,5.817606,5.436003,0.2797841
5.79588,5.5852013,5.386805,5.080466,5.350824,0.20762219
5.0,5.0008984,4.962004,4.9991293,4.987344,0.017932467
7.5686364,7.5075216,6.7991056,7.117798,7.141475,0.2896938
5.0,5.0008984,5.017953,4.983329,5.0007267,0.014135751
5.0,4.994745,5.015782,4.9991293,5.0032187,0.009062083
5.0,5.015354,5.0045676,4.993626,5.004516,0.00887051
7.221849,5.584717,6.149437,5.835761,5.8566384,0.23101819
5.0,5.043181,4.9750266,5.0015,5.0065694,0.028053818
5.0,5.0426874,5.4503727,5.620534,5.371198,0.24245705
5.0,5.0008984,5.0021176,4.9991293,5.000715,0.0012268473
6.4202166,6.2043347,6.497047,6.385233,6.362205,0.120603554
5.0,4.9504085,5.1373224,4.988874,5.025535,0.08059044
5.920819,5.533124,5.7228994,5.3722453,5.5427566,0.14331588
6.4436975,5.655753,5.9778566,6.560894,6.0648346,0.37460548
5.0,5.110322,5.012144,4.958584,5.0270166,0.062833175
5.0,5.008045,5.0043755,5.013223,5.0085483,0.0036295154
