exp,model1,model2,model3,mean,std
5.0,5.6736937,5.0031376,5.0794387,5.25209,0.2997418
5.0,5.0099945,5.0031376,5.0032606,5.005464,0.003203779
5.0,5.0553174,4.9872656,5.0541177,5.0322337,0.03180093
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.015734,5.0310783,5.088445,5.045086,0.031293035
6.455932,5.8830423,5.4956326,5.678487,5.685721,0.15824203
8.0,8.036986,7.89779,8.192206,8.042328,0.12025432
6.167491,5.6987386,5.7101836,5.3443027,5.5844083,0.1698446
5.0,5.0070157,5.0031376,5.0032606,5.0044713,0.0017998655
5.0,5.046068,5.0170364,5.0087624,5.023956,0.015996626
5.0,5.0126147,5.0271997,5.2067733,5.0821958,0.088290505
5.0,5.0274134,5.148506,5.0514092,5.0757766,0.05235252
5.0,5.0455575,5.027051,5.0032606,5.02529,0.017312486
5.0,5.0050893,5.135034,5.0032606,5.047795,0.061692104
5.0,5.005853,5.0031376,5.0032606,5.004084,0.0012521509
7.39794,5.4668646,6.1833334,6.275647,5.975282,0.36147517
5.0,5.011101,5.179768,4.989377,5.060082,0.085094295
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
9.30103,7.2129607,7.2308717,8.180103,7.5413117,0.45175293
5.823909,5.2768745,4.8745885,5.1183944,5.0899525,0.16545941
5.0,4.9568458,5.002268,5.09221,5.017108,0.056249596
5.0,5.1008205,5.048869,5.030053,5.059914,0.029927721
5.0,5.011019,5.2133484,5.0032606,5.0758758,0.09725919
5.0,5.0113454,5.0031376,5.004205,5.0062294,0.0036437113
5.0,5.016335,5.0458736,5.52696,5.1963897,0.23405941
5.0,5.532646,5.029415,5.490043,5.350702,0.22784856
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.0036016,5.0031376,5.0032606,5.003333,0.00019625253
5.0,5.0222354,5.0112467,5.0083675,5.01395,0.005975493
5.0,5.0055943,5.0031376,5.0032606,5.0039973,0.0011302026
5.0,5.0523524,5.276389,5.0378275,5.1221895,0.10919659
6.481486,5.0563407,5.232006,5.0395126,5.109287,0.08704739
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
7.823909,6.9415016,6.660571,6.5620594,6.721377,0.16076308
5.0,5.448189,5.3248625,5.658833,5.477295,0.13788752
7.29243,6.202613,6.130645,6.428048,6.253769,0.12668824
5.0,5.014426,5.0031376,5.0032606,5.0069413,0.005292759
5.0,5.1440353,5.0198207,5.0584254,5.0740943,0.051906604
5.0,5.0061874,5.0031376,5.0032606,5.004195,0.0014096113
5.853872,4.994207,5.0890713,5.069034,5.050771,0.04082462
5.0,5.0050893,5.0031376,5.0032597,5.0038285,0.0008926576
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.3565474,5.7587323,5.3132005,5.1183834,5.396772,0.26801723
6.017729,7.227599,7.120594,6.331212,6.893135,0.39973378
8.387217,8.451836,8.11719,8.883848,8.484292,0.313827
5.3467875,5.329032,6.2583594,7.178653,6.255348,0.7551075
5.251812,5.3132644,5.4443593,5.055564,5.2710624,0.16150585
5.7447276,5.5787225,5.5643244,5.096054,5.413034,0.22421546
6.004365,5.190726,5.5360312,5.0915627,5.2727733,0.19050267
6.60206,5.4728646,5.6252737,5.691457,5.5965323,0.0915249
5.0,5.0051775,5.0031376,5.0032606,5.0038586,0.00093397684
6.221849,6.371983,5.8758626,6.116265,6.1213703,0.2025725
5.0,5.0893903,5.0393662,5.0108967,5.046551,0.032445107
5.0,4.9941955,5.0031376,5.0032606,5.000198,0.004244653
6.0132284,6.422473,6.140905,6.0383253,6.2005677,0.16240297
5.6197886,5.1759033,5.4490967,6.171077,5.5986924,0.41982272
5.79588,5.138086,5.32465,5.0427656,5.1685004,0.11707109
5.0,5.0092425,5.0031376,5.0032606,5.0052137,0.0028493446
7.5686364,7.206541,7.489457,7.0027966,7.2329316,0.19955274
5.0,5.023329,5.0031376,5.0052342,5.0105667,0.0090645375
5.0,5.0052257,5.0031376,5.0032606,5.003875,0.0009566479
5.0,5.014058,5.0026746,5.0032606,5.0066648,0.005233591
7.221849,5.8561316,5.9297786,6.0523663,5.946092,0.08093872
5.0,5.0545635,5.0031376,4.9991474,5.0189495,0.025235541
5.0,5.061166,5.292166,5.380916,5.2447495,0.13477471
5.0,5.0050893,5.0005317,5.0032606,5.0029607,0.001872697
6.4202166,6.3079305,6.3600016,6.2852397,6.317724,0.031297155
5.0,5.022267,5.066292,5.002844,5.0304675,0.026543656
5.920819,5.992264,6.2375054,5.2693205,5.8330293,0.41098425
6.4436975,5.7097807,6.0403767,5.765966,5.8387074,0.14443442
5.0,5.0053406,5.0031376,5.0039988,5.004159,0.0009064733
5.0,5.007467,5.0031376,5.0032606,5.004622,0.0020124365
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
6.4202166,5.2597003,5.6183505,5.3439827,5.407345,0.15311985
5.0,5.0464935,5.0031376,4.9933286,5.01432,0.023099946
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.001686,5.143678,4.979279,5.041548,0.07279416
5.0,5.0057926,5.0031376,5.0032606,5.0040636,0.001223627
5.0,5.00681,5.0031376,5.0004654,5.003471,0.0026009623
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.003422,4.9743657,5.014566,4.9974513,0.016946014
8.769551,7.76969,7.5331035,7.9375463,7.74678,0.1659059
5.7212462,6.0047507,6.001482,5.612849,5.873028,0.18397853
5.0,6.199667,5.200776,5.08266,5.4943676,0.5010476
5.0,5.2073083,5.081149,5.0776353,5.1220307,0.060317285
5.0,5.0058937,5.0031376,5.0032606,5.0040975,0.0012712424
5.0,4.991274,5.037676,5.016468,5.015139,0.018966816
5.0,4.9858007,5.0031376,5.0032606,4.9974,0.008201818
5.0,5.167711,5.2214313,5.144629,5.1779237,0.03217529
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,4.997876,5.004562,4.978801,4.9937463,0.010914849
5.8860564,6.0440474,6.0990024,6.4185038,6.187185,0.16509889
5.0,5.022386,5.546709,5.77082,5.4466386,0.31363353
7.091515,5.765437,5.9304867,5.948816,5.88158,0.08246552
6.318759,5.8227587,6.1423817,6.2668114,6.0773177,0.18703072
6.0409584,5.877953,5.7030063,5.7747235,5.7852273,0.0718069
6.4436975,5.120483,5.0679107,5.0465646,5.0783195,0.031061621
5.0,6.703203,6.4035378,4.98873,6.0318236,0.7476555
5.0,5.006031,5.0068154,5.0032606,5.0053687,0.0015248781
5.0,5.640669,5.0882945,4.981629,5.236864,0.28883457
5.0,5.0008936,5.100989,5.0032606,5.035048,0.04663746
5.0,5.001516,5.0031376,5.170038,5.058231,0.07906273
5.0,5.0050893,5.002219,5.0032606,5.0035233,0.0011863086
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.2596374,5.0627437,5.372283,5.3363743,5.2571335,0.138234
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
7.5228786,6.975634,5.591455,7.3475227,6.638204,0.7555739
5.0,5.0050893,5.0050015,5.0009584,5.003683,0.0019269497
7.2676063,7.922797,7.7710404,9.252836,8.315558,0.6656453
5.0,5.0045624,5.0031376,5.0032606,5.0036535,0.0006446147
5.69897,5.3905535,4.996032,5.0007067,5.1290975,0.18488717
5.0,4.9957356,5.0081434,5.0032606,5.00238,0.005103593
5.0,5.0030313,5.0042024,5.0032606,5.003498,0.00050673337
9.275724,7.9088864,5.709733,8.122857,7.2471595,1.0906281
5.0,5.034184,5.0372396,5.002848,5.0247574,0.015542198
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.00207,5.036662,5.078996,5.039243,0.03145797
5.0,5.0050893,5.022944,5.149842,5.059292,0.06444216
6.070581,6.012862,6.063552,6.2625184,6.1129775,0.10774731
5.7447276,5.0489907,5.005697,5.619829,5.2248387,0.279859
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.009786,5.0031376,5.0032606,5.005395,0.0031055612
5.251812,5.6254597,5.007739,5.361921,5.3317065,0.25308678
5.0,5.0499506,5.0031376,5.0088425,5.0206437,0.020853676
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.0050893,4.9755945,5.003604,4.994763,0.013567422
5.0,5.2075143,5.2138424,5.221963,5.21444,0.005913744
6.5850267,6.3458533,6.318182,6.6539063,6.439314,0.15215972
5.3467875,5.0055504,5.0031376,5.0032606,5.003983,0.0011095433
5.0,5.0212183,5.0358124,5.0657797,5.040937,0.018549465
5.0,5.0094037,5.0031376,5.0032606,5.005267,0.00292531
5.0,5.028589,5.0031376,5.0032606,5.0116625,0.011968911
5.0,5.0078015,5.003159,5.0032606,5.00474,0.0021649469
5.0,5.33313,5.0175595,5.6410427,5.3305774,0.25454235
7.7695513,6.9353843,7.5086913,7.3834343,7.275837,0.24610728
5.0,5.19971,5.80098,5.094762,5.3651505,0.311142
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.016446,5.0359745,5.0032606,5.0185604,0.013438808
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.0088253,5.0031376,5.0036902,5.005218,0.00256091
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
6.5086384,5.179561,5.3348575,5.8237376,5.446052,0.2744862
5.0,5.014715,4.980237,5.004129,4.9996934,0.014420813
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.580102,5.0031376,5.0032606,5.1955,0.27195463
5.0,5.00814,5.0031376,5.0032606,5.004846,0.0023297449
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.958607,7.1863155,5.9869313,5.8096676,6.327638,0.61147404
5.0,5.0153728,5.0075593,5.0159416,5.012958,0.0038244384
5.0,5.059224,4.974789,5.0719543,5.0353227,0.043117903
5.0,5.0050893,5.0031376,5.012607,5.0069447,0.0040824595
5.0,5.0050893,5.0031376,5.0032606,5.003829,0.00089245493
5.0,5.005805,5.053688,5.0032606,5.020918,0.02319527
5.0,5.0050893,5.0263634,5.2839046,5.105119,0.12671842
5.0,4.9939756,4.97439,6.297285,5.421884,0.61905396
