exp,model1,model2,model3,mean,std
5.0,6.2925177,5.002008,5.0184507,5.437659,0.60451376
5.0,5.0069976,4.9989843,5.009454,5.005145,0.004470323
5.0,4.9995112,5.017016,5.0150623,5.01053,0.007832036
5.0,5.0017114,5.000361,5.0074134,5.003162,0.0030563823
5.0,5.014538,5.0213094,5.119565,5.051804,0.04799391
6.455932,6.255517,5.9877005,6.504396,6.2492046,0.21098727
8.0,8.023106,7.9606533,7.725562,7.9031067,0.128106
6.167491,5.079892,5.0762653,6.220366,5.4588413,0.5384814
5.0,5.0080237,5.0659375,5.001997,5.0253196,0.02882653
5.0,5.0231624,5.00306,5.021424,5.015882,0.009094369
5.0,4.9991026,5.0025687,5.0293403,5.0103374,0.013511504
5.0,4.9963117,4.986779,5.016256,4.9997826,0.012281472
5.0,5.081624,5.0158443,5.0116596,5.036376,0.032040767
5.0,5.008936,5.0098157,4.9995146,5.0060887,0.004662483
5.0,4.997774,5.009149,5.025583,5.0108356,0.011415284
7.39794,6.0048494,5.707451,5.951995,5.8880982,0.12954678
5.0,5.0184555,5.0126553,5.1090627,5.0467243,0.044143315
5.0,4.99566,5.011445,5.01565,5.007585,0.008605243
9.30103,7.6702933,6.9402413,8.33164,7.647392,0.568267
5.823909,5.1187572,5.090882,5.420179,5.2099395,0.14909676
5.0,5.003501,5.0017424,5.0194044,5.008216,0.007943978
5.0,5.060691,4.9997716,5.017028,5.0258303,0.025637208
5.0,5.013701,5.014781,5.0107684,5.013084,0.0016953255
5.0,5.01784,5.038091,5.005724,5.0205517,0.01335227
5.0,5.01222,5.007231,5.0065975,5.0086827,0.0025143956
5.0,5.6232567,5.1512566,5.682107,5.48554,0.23759201
5.0,5.005568,5.0074797,5.0072393,5.0067625,0.0008501906
5.0,4.999541,5.004059,5.006898,5.003499,0.0030294894
5.0,5.001373,5.0054455,5.0109863,5.005935,0.0039399276
5.0,5.0030665,4.997359,5.0091176,5.003181,0.0048011937
5.0,5.0029197,5.005235,5.014528,5.0075607,0.0050162254
5.0,5.0100555,5.003043,5.0053434,5.0061474,0.0029186837
5.0,5.022001,5.0016737,5.0038786,5.0091844,0.009107178
5.0,5.0018635,4.999984,5.0113053,5.0043845,0.0049537774
6.481486,5.0071917,5.0132456,5.11837,5.046269,0.051042948
5.0,4.9981093,5.002951,5.040065,5.0137086,0.018741306
7.823909,6.894843,7.1310053,6.903329,6.9763923,0.109382674
5.0,5.56534,5.13153,6.007822,5.568231,0.35775065
7.29243,6.6475477,6.1097465,6.945279,6.567524,0.3457663
5.0,5.0031357,5.0009847,5.0043244,5.002815,0.0013821899
5.0,5.744494,5.0190234,5.200011,5.321176,0.3083155
5.0,4.9967113,5.0011897,5.0105333,5.0028114,0.00575818
5.853872,5.019839,5.000402,5.0187654,5.013002,0.008920388
5.0,4.998689,5.007307,5.0166497,5.007549,0.0073343534
5.0,5.0007586,5.003285,5.011734,5.005259,0.0046931105
5.3565474,6.2837114,5.620817,5.4365435,5.7803574,0.36378855
6.017729,7.4690914,7.161604,6.4202547,7.016983,0.44022793
8.387217,8.375566,8.300798,8.393974,8.35678,0.040291645
5.3467875,5.0863676,5.8937035,6.348724,5.7762647,0.52200234
5.251812,5.3674674,5.1211605,5.018671,5.1691,0.14637475
5.7447276,5.7696,5.047923,5.077562,5.2983613,0.33343542
6.004365,5.6978183,5.5084467,5.05051,5.418925,0.27173838
6.60206,6.452591,6.1491213,5.886584,6.1627655,0.23127277
5.0,5.000101,5.0053654,5.0024223,5.0026298,0.0021541256
