exp,model1,model2,model3,mean,std
5.0,5.763292,5.0026183,4.999321,5.255077,0.35936466
5.0,5.202218,5.0555367,5.8220334,5.3599296,0.33219865
5.0,5.2853465,5.013941,5.045128,5.114805,0.12126128
5.0,5.098569,5.0641775,5.7813497,5.3146987,0.33027062
5.0,6.9356923,5.0082364,4.996512,5.646814,0.9113875
6.455932,5.0398693,5.0472574,5.299391,5.128839,0.12063592
8.0,5.5514145,5.694904,5.508094,5.5848045,0.07983584
6.167491,5.2431803,4.987761,5.0120625,5.0810013,0.11510622
5.0,4.950988,5.0037413,5.048641,5.0011234,0.039909784
5.0,5.21704,5.0211263,5.2469554,5.1617074,0.10015318
5.0,5.3843827,5.0316315,5.0274715,5.1478286,0.16727766
5.0,5.026598,5.030402,5.5497823,5.202261,0.2457397
5.0,5.02071,5.317702,5.035101,5.124504,0.13673759
5.0,5.8306565,4.997764,5.003008,5.277143,0.39139915
5.0,5.0658913,5.4536676,5.2267747,5.248778,0.15907174
7.39794,7.0811706,5.4782414,7.664268,6.7412267,0.92424726
5.0,5.7583327,4.97265,4.9876213,5.239535,0.3668965
5.0,5.375082,5.0708966,5.241435,5.229138,0.12448723
9.30103,5.0964003,6.0381227,5.9186177,5.68438,0.4186173
5.823909,4.9914303,5.8909373,5.4426227,5.4416637,0.36722285
5.0,5.724694,5.914123,5.5697794,5.7361984,0.1408129
5.0,5.647949,5.172693,6.5720854,5.7975755,0.58101404
5.0,5.166214,5.0324,5.069689,5.089434,0.056385286
5.0,6.758134,6.809336,6.9038105,6.8237605,0.060340468
5.0,5.3521805,5.029563,4.990873,5.124205,0.16197468
5.0,5.3168573,5.050488,5.1251454,5.1641636,0.112190224
5.0,5.097964,5.162662,5.807139,5.3559213,0.32015026
5.0,5.009002,5.020953,5.4027195,5.1442246,0.18284833
5.0,5.299198,5.0467396,5.0297465,5.1252284,0.12321087
5.0,5.096177,5.042662,6.024554,5.387798,0.45078427
5.0,5.3636236,5.3546534,5.038886,5.2523875,0.15101285
5.0,5.1985908,5.000217,5.0209804,5.0732627,0.089024805
5.0,5.864829,5.0053396,5.117178,5.3291154,0.38154832
5.0,6.652154,5.03336,5.399067,5.6948605,0.69317806
6.481486,5.1677732,5.052764,5.025399,5.081979,0.061685886
5.0,5.210848,5.493799,5.165498,5.290048,0.14525837
7.823909,6.2693844,5.0475445,5.036624,5.4511847,0.57857203
5.0,5.0105643,5.0147233,5.415728,5.147005,0.19002333
7.29243,5.2677517,5.0193477,5.3177767,5.2016253,0.13049774
5.0,5.2840137,4.953315,4.951537,5.0629554,0.15631367
5.0,5.9557815,4.983906,4.991536,5.310408,0.45635873
5.0,6.624002,5.107173,5.001023,5.577399,0.7413276
5.853872,5.441932,5.5664415,5.0274734,5.345282,0.23040187
5.0,5.0686893,5.1752553,7.827139,6.0236945,1.2759696
5.0,5.0861073,4.998821,5.0243115,5.036413,0.036647595
5.3565474,5.8959937,5.105772,5.7798996,5.5938888,0.34838933
6.017729,6.032351,5.8768854,5.2056017,5.704946,0.35874873
8.387217,6.4804115,5.0996127,6.803255,6.12776,0.7388603
5.3467875,5.857499,5.0524855,5.848419,5.5861344,0.3773651
5.251812,5.032852,5.3556614,5.0188613,5.135792,0.15557629
5.7447276,5.3308496,5.1103287,5.6912923,5.3774905,0.23945937
6.004365,5.082921,5.058338,6.1916723,5.4443107,0.5285599
6.60206,5.0738964,5.0683846,5.279608,5.1406293,0.098298155
5.0,5.2866964,5.079041,5.0316343,5.1324573,0.11076745
6.221849,5.839172,5.0475655,5.063737,5.316825,0.36941418
5.0,5.0632715,5.0877867,5.168889,5.106649,0.045133933
5.0,5.0710754,5.98909,5.4922223,5.5174623,0.37520257
6.0132284,5.328075,4.984368,5.0631113,5.1251845,0.1470226
5.6197886,5.15365,5.0609646,5.684374,5.299663,0.2746508
5.79588,5.0706143,5.006479,5.0183687,5.031821,0.027857464
5.0,6.2251987,5.1964426,4.9832077,5.468283,0.54225355
7.5686364,7.5506186,5.0801725,5.1536674,5.9281526,1.1476488
5.0,5.130642,5.9142613,5.183791,5.409565,0.35753337
5.0,5.1193657,5.185377,5.0323534,5.1123652,0.06266747
5.0,7.7134366,5.0450525,5.5083094,6.0889335,1.1641624
7.221849,5.5032,5.134985,5.0335503,5.223912,0.20178159
5.0,5.08759,4.998802,5.327512,5.137968,0.1388427
5.0,5.2133245,5.4870586,5.0122223,5.237535,0.19460559
5.0,5.0847454,5.018585,5.2021174,5.101816,0.0758928
6.4202166,7.3183703,5.0554833,5.780225,6.0513597,0.9435041
5.0,5.02782,5.0011554,5.009709,5.012895,0.011116489
5.920819,5.8811483,7.9921117,5.607166,6.4934754,1.0655828
6.4436975,5.0575924,5.3557515,5.040392,5.151245,0.14477813
5.0,7.555257,5.0298796,5.2160244,5.93372,1.1491151
5.0,5.0693316,5.1434584,5.3397307,5.1841736,0.11408246
5.0,5.2467785,5.0215564,5.7258105,5.3313823,0.2936685
6.4202166,5.030391,5.0223317,5.176241,5.076321,0.07073042
5.0,5.6213593,5.0820055,5.5191107,5.407492,0.23390841
5.0,5.57498,5.6868863,6.6512804,5.971049,0.48316115
5.0,5.0119247,5.025784,5.301183,5.112964,0.13321131
5.0,4.98855,4.9785233,5.1693344,5.0454693,0.08768148
5.0,5.550573,5.0325813,5.0066195,5.1965914,0.2505271
5.0,5.1959634,4.9688015,5.0095434,5.0581026,0.098890975
5.0,5.645925,5.0123997,5.196112,5.2848125,0.26613203
5.0,5.488391,5.142195,7.1143537,5.91498,0.8597813
8.769551,5.1678205,5.0297503,5.2551723,5.1509147,0.092801295
5.7212462,5.0326185,5.025318,5.145609,5.0678487,0.055065606
5.0,4.9977727,5.027686,5.0641365,5.0298653,0.027136689
5.0,5.323262,7.1070366,5.52705,5.9857826,0.79719913
5.0,5.0815573,5.019145,5.353405,5.151369,0.14511536
5.0,5.2985187,5.039066,5.831791,5.389792,0.33000138
5.0,6.370533,5.0192842,5.2360425,5.5419536,0.59253937
5.0,5.203118,4.994889,5.36219,5.186732,0.15039697
5.0,5.2620535,4.9731894,5.060585,5.0986094,0.12095455
5.0,5.0259876,5.346403,5.0863547,5.1529155,0.13901857
5.8860564,5.061448,5.4110107,5.09157,5.1880097,0.15816441
5.0,5.588804,5.0766983,5.046587,5.2373633,0.24881
7.091515,5.2033157,6.9995093,7.3913465,6.5313907,0.95261776
6.318759,5.2930403,5.0062943,5.1272573,5.142197,0.11753927
6.0409584,5.632923,5.010411,5.1908712,5.278068,0.26151216
6.4436975,5.062565,5.0235295,5.057949,5.048014,0.017415721
5.0,5.0241337,5.137624,5.0481834,5.06998,0.048828468
5.0,5.063037,5.4007254,5.119568,5.194443,0.14767787
5.0,5.1788344,5.2085667,5.2640853,5.2171626,0.035330236
5.0,5.33523,4.982395,5.024949,5.1141915,0.15726034
5.0,5.7459254,5.013628,6.128714,5.6294227,0.4626258
5.0,5.620652,4.9985137,5.4034934,5.3408866,0.25781623
5.0,4.941991,5.9350214,5.37998,5.4189973,0.40634072
